000			Stories of Legend
000-000		The Legend Begins
000-000-000	Earthshaker
000-000-001	Return of Terror
000-000-002	Sunset Blues
000-000-003	Melancholy Damp
000-000-004	Bouncy Park
000-000-005	Gentle Smile
000-000-006	Guardian of the Ranch 
000-000-007	Sleeping Lion
000-001		Passion Land
000-001-000	Nyandalucia
000-001-001	Paella Field
000-001-002	Flamenco Hole
000-001-003	Sangria River
000-001-004	Gazpacho Highland
000-001-005	Churros Night
000-001-006	Bone Dry Gardens
000-001-007	Tapas Desert
000-002		Glucosamine Desert
000-002-000	Chondroitin Sandhill
000-002-001	Sesamin Ruins
000-002-002	Isoflavone Cave
000-002-003	Catechin Hill
000-002-004	Lycopene Sunset
000-002-005	Propolis Oasis
000-002-006	PepTide snowfield
000-002-007	Hyaluronan Mountain
000-003		Swimming Cats
000-003-000	Premature Launch
000-003-001	Deep Ocean Blue
000-003-002	Mermaid Cove
000-003-003	Chaos Lagoon
000-003-004	Playing Pirates
000-003-005	Fisherman’s Dilemma
000-003-006	Seaweed Shallows
000-003-007	Salty is Seawater
000-004		Risqué Terrain
000-004-000	Lovely Minerals
000-004-001	Shapely Caverns
000-004-002	Enticing Tunnels
000-004-003	Squishy Hollows
000-004-004	Twin Peaks
000-004-005	Thriller Bridge
000-005		Western Street
000-005-000	Gunman’s Dawn
000-005-001	Cowboy Haven
000-005-002	Wanted Night
000-005-003	Macaroni Town
000-005-004	Wandering Traveler
000-005-005	Disappointed Guard
000-005-006	Cowboy Mountain
000-005-007	Rodeo Night
000-006		Sea of Tuna
000-006-000	Red Tuna Coast
000-006-001	Fresh Wharf
000-006-002	Blue Ocean
000-006-003	Carapaccio Waters
000-006-004	Economic Sea
000-006-005	Tactical War Tuna
000-006-006	Frozen Tuna Front
000-006-007	Cave Fillet
000-007		Bamboo Island
000-007-000	Prickly Field
000-007-001	Bamboo Coast
000-007-002	Serial Killer Jungle
000-007-003	Disgusting Swamp 
000-007-004	Dumpy Cave
000-007-005	Stardust Street
000-007-006	Mushroom Cliff
000-007-007	Frontier Spirit
000-008		Squishy Cave
000-008-000	Milky Tunnel
000-008-001	Fluffy Dark Weapon
000-008-002	Mural of the Devil
000-008-003	The Wind Blows
000-008-004	Juvenile Killer
000-008-005	Upset Rock
000-008-006	Flooded Cave
000-008-007	Chubby B. Goode
000-009		Volkanos Volcano
000-009-000	Hot Bath Rock
000-009-001	Gentle Geyser
000-009-002	Thick Magma
000-009-003	Fire Cage
000-009-004	Volcanic Defender
000-009-005	Flame Caldera
000-010		Neverending Cat Story
000-010-000	Potential Road
000-010-001	Gloomy Tree
000-010-002	A Song in the Wind
000-010-003	Philosophy Road
000-010-004	Frontier Bell
000-010-005	River of Tears
000-010-006	Shining Road
000-010-007	The Trial Deep
000-011		Castle of Fish
000-011-000	The Sea Whispers
000-011-001	Ripples Island
000-011-002	Octopus Sea
000-011-003	Poseidon Rest
000-011-004	Moonlight Beach
000-011-005	Coral Coral Reef
000-011-006	Ark of the Month
000-011-007	Killer Sardines
000-012		Sushi Island
000-012-000	Tuna Field
000-012-001	Crab Field
000-012-002	Salmon Cave
000-012-003	Sea Urchin Cave
000-012-004	Caviar Woods
000-012-005	Natto Bay
000-012-006	Halibut Forest
000-012-007	Shrimp Frontier
000-013		The Scratching Post
000-013-000	Cardboard Corridor
000-013-001	Catnip Dream
000-013-002	Crunchy Wall
000-013-003	Wading Woodchips
000-013-004	Crunchy Pillar
000-013-005	Disapproving Giant
000-014		Parthenon
000-014-000	Altar of Zeus
000-014-001	Sword of Achilles
000-014-002	Road of Eros
000-014-003	Dawn of Gaia
000-014-004	Gates of Aphrodite
000-014-005	Labyrinth of Hades
000-015		Low Tide Beach
000-015-000	Clammy Cove
000-015-001	Beached Mammals
000-015-002	Bikini Territory
000-015-003	Apple Bobbing Ocean
000-015-004	Parasol Field
000-015-005	Ancient One-Piece
000-015-006	Glassy Sands
000-015-007	Star Ocean
000-016		Alcatraz
000-016-000	Gull Coast
000-016-001	Pelican Island
000-016-002	Underground Base
000-016-003	Villains Jungle
000-016-004	Chicken Game
000-016-005	Cat Trial
000-016-006	Prison Prairie
000-016-007	Jailer in the Morgue
000-017		Jail Break Tunnel
000-017-000	Sin and Punishment
000-017-001	Prison Sentence
000-017-002	Harry Tunnel
000-017-003	Dead Falls
000-017-004	Pitfall Zone
000-017-005	The Great Escaper
000-018		Capone’s Jail
000-018-000	Jailbreak Diary
000-018-001	Last Gang
000-018-002	Prison Destruction
000-018-003	King of Freedom
000-018-004	Liar’s Fate
000-018-005	Pigpen Taboo
000-019		Silk Road
000-019-000	Gandara's Rest
000-019-001	Utopia Is Over There
000-019-002	Godiego Pass
000-019-003	Monkey Magic
000-019-004	Outsider’s Gate
000-019-005	Marco Po Road
000-019-006	Pig Swill
000-019-007	Imp’s Cold Sweat
000-020		Stairway to Darkness
000-020-000	Safe & Not Sorry
000-020-001	Claustronyctophobia
000-020-002	Red Alert
000-020-003	Pitfalls of Life
000-020-004	Subtle Curfew
000-020-005	Underground
000-021		Prince of Darkness
000-021-000	The Red Carpet
000-021-001	The Bathroom
000-021-002	The VIP Room
000-021-003	Torture Room
000-021-004	Dictator’s Garden
000-021-005	Satan’s Bedroom
000-022		Dead End Night
000-022-000	Feast of Betrayal
000-022-001	Catharsis’ End
000-022-002	Black Premonition
000-022-003	Broken Mask
000-022-004	Agape’s Cage
000-022-005	Saint Red Fox
000-023		Battle Royale
000-023-000	Her Highness, Milk T.
000-023-001	Angry Fighting
000-023-002	The Horrible Song
000-023-003	Trap of Cowards
000-023-004	Dark Nemesis
000-023-005	Scent of Gore & Fish
000-024		Scars of War
000-024-000	Valkyrie Plains
000-024-001	Minefield
