0|S0|I0	加速
1|S1|I1	寶物雷達
2|S2|I2	土豪貓
3|S3|I3	貓型電腦
4|S4|I4	洞悉先機
5|S5|I5	狙擊手
6|S6|I201	XP
7|S7|I217	NP
8	未使用
9	未使用
10	XP 5000
11	XP 10000
12	XP 30000
13	XP 50000
14	XP 100000
15	XP 200000
16	XP 500000
17	XP 1000000
18	XP 2000000
19	XP 500000
20|S11|I202	貓咪轉蛋券
21|S12|I203	稀有券
22|S13|I200	貓罐頭
23|S16|I400	招福轉蛋券
26|S17|I403	招福轉蛋券
27|S18|I404	招福轉蛋券
28|S19|I405	招福轉蛋券
29|S20|I204	白金券
30|S30|I500	紫色貓薄荷種子
31|S31|I501	紅色貓薄荷種子
32|S32|I502	藍色貓薄荷種子
33|S33|I503	綠色貓薄荷種子
34|S34|I504	黃色貓薄荷種子
35|S35|I505	紫色貓薄荷
36|S36|I506	紅色貓薄荷
37|S37|I507	藍色貓薄荷
38|S38|I508	綠色貓薄荷
39|S39|I509	黃色貓薄荷
40|S40|I510	彩虹貓薄荷
41|S41|I511	古代貓薄荷種子
42|S42|I512	古代貓薄荷
43|S43|I513	彩虹貓薄荷種子
44|S44|I514	黃金貓薄荷
45|S21|I406	招福轉蛋券
46|S22|I407	招福轉蛋券
47|S23|I408	招福轉蛋券
48|S24|I409	招福轉蛋券
49|S25|I410	招福轉蛋券
50|S50|I600	貓眼石【EX】
51|S51|I601	貓眼石【稀有】
52|S52|I602	貓眼石【激稀有】
53|S53|I603	貓眼石【超激稀有】
54|S54|I604	貓眼石【傳說】
55|S55|I700	喵力達A
56|S56|I701	喵力達B
57|S57|I702	喵力達C
58|S58|I605	貓眼石【闇】
60|S60	貓咪砲攻擊力
61|S61	貓咪砲射程
62|S62	貓咪砲充電
63|S63	工作狂貓的工作效率
64|S64	工作狂貓錢包
65|S65	城堡體力
66|S66	研究力
67|S67	會計能力
68|S68	學習力
69|S69	統率力
70|S70	貓咪隊員：未定1
71|S71	貓咪隊員：未定2
72|S72	貓咪隊員：未定3
73|S73	貓咪隊員：未定4
74|S74	貓咪隊員：未定5
75|S26|I411	招福轉蛋券
76|S76|I205	招福轉蛋券
77|S77|I206	招福轉蛋G券
78	XP 100000
80|S80|I6	經驗值A
81|S81|I7	經驗值B
82|S82|I8	經驗值C
83|S83|I9	經驗值D
84|S84|I10	經驗值E
85|S85|I610	紅磚
86|S86|I611	羽毛
87|S87|I612	備長炭
88|S88|I613	鋼製齒輪
89|S89|I614	黃金
90|S90|I615	宇宙石
91|S91|I616	神秘骨頭
92|S92	助手
93|S93|I207	招福轉蛋券
94|S94|I208	招福轉蛋G券
95|S95|I209	招福轉蛋G券
96|S96|I210	招福轉蛋G券
97|S97|I211	招福轉蛋G券
98|S98|I212	招福轉蛋G券
99|S99|I213	招福轉蛋券
100|S100|I214	招福轉蛋G券
101|S101|I215	招福轉蛋
102|S102|I216	招福轉蛋G券
103|S103|I218	招福轉蛋G券
104|S104|I219	招福轉蛋券
105|S105|I220	首領旗
106|S106|I221	招福轉蛋G券
107|S107|I222	招福轉蛋券
108|S108|I223	招福轉蛋G券
109|S109|I224	招福轉蛋G券
110|S110|I225	招福轉蛋券
112|S112|I226	招福轉蛋券
113|S113|I227	招福轉蛋券G
114|S114|I228	招福轉蛋G券
115|S115|I229	招福轉蛋G券
116|S116|I230	招福轉蛋券
117|S117|I231	招福轉蛋券
118|S118|I232	招福轉蛋G券
119|S119|I233	招福轉蛋G券
120|S120|I234	招福轉蛋G券
121|S121|I235	招福轉蛋G券
122|S122|I236	招福轉蛋券
123|S123	回歸禮包
124|S124|I237	招福轉蛋G券
