0|S0|I0	Beschleuniger
1|S1|I1	Schatzradar
2|S2|I2	Reiche Katze
3|S3|I3	Katzencomputer
4|S4|I4	Katzeneffizienz
5|S5|I5	Katzenschütze
6|S6|I201	XP
7|S7|I217	NP
8	dummy
9	dummy
10	5.000 XP
11	10.000 XP
12	30.000 XP
13	50.000 XP
14	100.000 XP
15	200.000 XP
16	500.000 XP
17	1.000.000 XP
18	2.000.000 XP
19	500.000 XP
20|S11|I202	Katzenticket
21|S12|I203	Seltenes Ticket
22|S13|I200	Katzenbatzen
23|S16|I400	Glücksticket
26|S17|I403	Glücksticket
27|S18|I404	Glücksticket
28|S19|I405	Glücksticket
29|S20|I204	Platinticket
30|S30|I500	Lila Katzenfruchtkern
31|S31|I501	Roter Katzenfruchtkern
32|S32|I502	Blauer Katzenfruchtkern
33|S33|I503	Grüner Katzenfruchtkern
34|S34|I504	Gelber Katzenfruchtkern
35|S35|I505	Lila Katzenfrucht
36|S36|I506	Rote Katzenfrucht
37|S37|I507	Blaue Katzenfrucht
38|S38|I508	Grüne Katzenfrucht
39|S39|I509	Gelbe Katzenfrucht
40|S40|I510	Epische Katzenfrucht
41|S41|I511	Gereifter Katzenfruchtkern
42|S42|I512	Gereifte Katzenfrucht
43|S43|I513	Epischer Katzenfruchtkern
44|S44|I514	Goldene Katzenfrucht
45|S21|I406	Glücksticket
46|S22|I407	Glücksticket
47|S23|I408	Glücksticket
48|S24|I409	Glücksticket
49|S25|I410	Glücksticket
50|S50|I600	Katzenauge [Besonders]
51|S51|I601	Katzenauge [Selten]
52|S52|I602	Katzenauge [Superselten]
53|S53|I603	Katzenauge [Megaselten]
54|S54|I604	Katzenauge [Legendär]
55|S55|I700	Katzamin [A]
56|S56|I701	Katzamin [B]
57|S57|I702	Katzamin [C]
58|S58|I605	Katzenau. [Dunkel]
60|S60	Katzenkanonenschlag
61|S61	Katzenkanonenreichw.
62|S62	Katzenkanonenaufl.
63|S63	Arbeiterkatzentempo
64|S64	Arbeiterkatzentresor
65|S65	Basisverteidigung
66|S66	Forschung
67|S67	Buchhalter
68|S68	Kampfstudie
69|S69	Katzenenergie
70|S70	Cat Ally: Dummy 1
71|S71	Cat Ally: Dummy 2
72|S72	Cat Ally: Dummy 3
73|S73	Cat Ally: Dummy 4
74|S74	Cat Ally: Dummy 5
75|S26|I411	Glücksticket
76|S76|I205	Glücksticket
77|S77|I206	Glücksticket G
78	100.000 XP
80|S80|I6	XP
81|S81|I7	XP
82|S82|I8	XP
83|S83|I9	XP
84|S84|I10	XP
85|S85|I610	Ziegel
86|S86|I611	Federn
87|S87|I612	Kohle
88|S88|I613	Zahnräder
89|S89|I614	Gold
90|S90|I615	Meteorit
91|S91|I616	Tierknochen
92|S92	Ingenieure
93|S93|I207	Glücksticket
94|S94|I208	Glücksticket G
95|S95|I209	Glücksticket G
96|S96|I210	Glücksticket G
97|S97|I211	Glücksticket G
98|S98|I212	Glücksticket G
99|S99|I213	Glücksticket
100|S100|I214	Glücksticket G
101|S101|I215	Glücksticket
102|S102|I216	Glücksticket G
103|S103|I218	Glücksticket G
104|S104|I219	Glücksticket
105|S105|I220	Führung
106|S106|I221	Glücksticket G
107|S107|I222	Glücksticket
108|S108|I223	Glücksticket G
109|S109|I224	Glücksticket G
110|S110|I225	Glücksticket
112|S112|I226	Glücksticket
113|S113|I227	Glücksticket G
114|S114|I228	Glücksticket G
115|S115|I229	Glücksticket G
116|S116|I230	Glücksticket
117|S117|I231	Glücksticket
118|S118|I232	Glücksticket G
119|S119|I233	Glücksticket G
120|S120|I234	Glücksticket G
121|S121|I235	Glücksticket G
122|S122|I236	Glücksticket
123|S123	Rückkehrpaket
124|S124|I237	Glücksticket G
125|S125|I238	Glücksticket G
126|S126|I239	Glücksticket
127|S127|I240	Glücksticket
128|S128|I241	Glücksticket G
129|S129|I242	Glücksticket G
130|S130|I243	Glücksticket G
131|S131|I244	Glücksticket G
132|S132|I245	Glücksticket
133|S133|I246	Glücksticket G
134|S134|I247	Glücksticket
135|S135|I248	Glücksticket G
136|S136|I249	Glücksticket
137|S137|I413	Bikkuriman Choco
138|S138|I250	Glücksticket G
139|S139|I251	Glücksticket
140|S140|I617	Muninit
141|S141|I252	Glücksticket G
142|S142|I253	Glücksticket G
143|S143|I254	Glücksticket
144|S144|I255	Glücksticket G
145|S145|I256	Legenden-Ticket
146|S146|I257	Glücksticket G
147|S147|I258	Glücksticket
148|S148|I259	Glücksticket
149|S149|I260	Glücksticket G
150|S150|I261	Glücksticket G
151|S151	Unbeg. reiche Katzen/3 Std.
152|S152	Unbeg. Katzencomputer/3 Std.
153|S153	Unbeg. Katzenschützen/3 Std.
154|S154|I262	Glücksticket G
155|S155|I263	Glücksticket
156|S156|I264	Glücksticket G
157|S157|I270	Platinsplitter
158|S158|I414	Legendennetz
159	5.000 XP
160|S160|I515	Aku-Katzenfruchtkern
161|S161|I516	Aku-Katzenfrucht
164|S164|I517	Goldener Katzenfruchtkern
166|S166|I418	Liebesbrief
167|S167|I518	Lila B.-Stein
168|S168|I519	Roter B.-Stein
169|S169|I520	Blauer B.-Stein
170|S170|I521	Grüner B.-Stein
171|S171|I522	Gelber B.-Stein
172|S172|I419	Weihwasser
173|S173|I420	Legendennetze
174|S174|I710	Bronzemedaille
175|S175|I711	Silbermedaille
176|S176|I712	Goldmedaille
