000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
001	Robust. Hohe Gesundheit. Flächenangriff.<br>Stark genug, um einen Kieselstein heben zu können.<br>	Rigorose Verteidigung. Hat jetzt Ecken. Flächenangriff.<br>Stark genug, um einen kleinen Stein heben zu können.<br>	Ist elastisch und kann so jede Prügel locker wegstecken.<br>Richtig Gute™ Verteidigung. Flächenangriff.<br>Stark genug, um zwei kleine Steine heben zu können.
002	Kampffanatiker.<br>Stark gegen rote Feinde.<br>	Möchtegern-Held.<br>Stark gegen rote Feinde.<br>	Ein dunkler Möchtegern-Ritter.<br>Annehmbare Kampfkatze.<br>Stark gegen rote Feinde.
003	Kann sehr starke Distanzangriffe ausführen.<br>Außergewöhnliche Angriffskraft und Reichweite.<br>	Ist stolz auf ihre überaus hübschen Beine.<br>Außergewöhnliche Angriffskraft und Reichweite.<br>	Macht täglich Beintraining. Ist der Meister der Beinkunst.<br>Außergewöhnliche Angriffskraft und Reichweite.<br>Stark gegen Aliens!
004	Denkt schnell und reagiert schnell mit Köpfchen.<br>Läuft schnell wie der Wind!<br>	Denkt schnell und reagiert schnell mit Köpfchen.<br>Headbangt nur zu Rock ’n’ Roll!<br>	Denkt schnell und reagiert schnell mit Köpfchen.<br>Kann mit ihrer Mähne das Haus putzen.<br>
005	Hat die Gesundheit einer Erbse.<br>Außergewöhnliche Angriffskraft. Flächenangriff.<br>	Hat die Schwerkraft überwunden.<br>Kann sich gegen mehrere Feinde behaupten. Flächenangriff.<br>	Man sagt, dass sie einst mit ihren Lichtstrahlen eine Stadt<br>zerstörte.<br>Kann Engel-Feinde schwächen. Flächenangriff.
006	Außergewöhnliche Nahkampffähigkeiten.<br>Stark gegen rote Feinde.<br>	Wurde zum fleischfressenden Wal.<br>Stark gegen rote Feinde.<br>	Hat ihre Form im Urlaub vollendet.<br>Kann Haudrauf ausführen.<br>Stark gegen rote Feinde.
007	Kann Feinde aus der Entfernung angreifen.<br>Schlagkräftiger Distanzangriff gegen einen Feind.<br>	Ist aus einer Fantasywelt hierher gekommen.<br>Schlagkräftiger Distanzangriff gegen einen Feind.<br>	Frag nicht, wie er es in die Reihen der Drachenelite<br>geschafft hat. Ausgezeichnete Distanzangriffe.<br>Schlagkräftiger Distanzangriff gegen einen Feind.
008	Mit gewaltiger Angriffskraft und lächerlich hoher<br>Gesundheit gesegnet. Flächenangriff.<br>	Herr der Zerstörung (?)<br>Gewaltige Angriffskraft und Gesundheit.<br>Flächenangriff.	Der wahre Herr der Zerstörung?<br>Leiere dein Oberteil nicht so aus.<br>Kann Feinde zurückstoßen. Flächenangriff.
009	Ist wirklich äußerst professionell.<br>Arbeitet gut mit der Hübsche-Beine-Katze zusammen.<br>Außergewöhnliche Angriffskraft und -reichweite. Flächenangriff.	Ihre Liebe kennt keine Grenzen!<br>Arbeitet gut mit der Hübsche-Beine-Katze zusammen.<br>Außergewöhnliche Angriffskraft und -reichweite. Flächenangriff.	Dominiert den Bare-Knuckle-Ring mit Flächenangriffen<br>aus der Ferne. Ihre Beine schweben wie<br>Schmetterlinge, aber sie sticht wie eine Biene!
010	Erfahrener Angreifer auf mittlerer Distanz.<br>Kann gegen mehrere Feinde gleichzeitig kämpfen.<br>Flächenangriff.	Hat den Stil der Trunkenen Faust gemeistert ...<br>oder ist sie einfach nur auf Sauftour?<br>Flächenangriff.	Ein legendärer Tänzer, der seine Schläge mit feuriger<br>Leidenschaft ausführt. So schüchtern, dass er gekonnt<br>gekonnt rückwärts läuft, um Augenkontakt zu meiden. Flächenangriff.
011	Mr. stammt aus der beliebten „Mr.“-Serie.<br>In der Serie hat er sich flinke Beine antrainiert<br>und kann alle Feinde abballern. Flächenangriff.	Mr. stammt aus der beliebten „Mr.“-Serie.<br>In der Serie hat er sich flinke Beine antrainiert<br>und hat jetzt eine Panzerfaust. BÄM. Flächenangriff.	Mr. stammt aus den weltberühmten „Mr.“-Spielen!<br>Er rast Feinden entgegen und haut sie mit einem selbst<br>gebauten Boxhandschuhgewehr um. Flächenangriff.
012	Hält ungewöhnlich viel aus.<br>Steckt gern Schläge von jedem ein.<br>Stark gegen rote Feinde.	Was ist schon mehr Schmerz.<br>Steckt gern Schläge von jedem ein.<br>Stark gegen rote Feinde.	Opfert sich als Schild in Katzenform auf, um hoffentlich<br>transzendenten Spaß (?) zu haben.<br>Stark gegen rote Feinde. Überlebenswille.
013	Tagsüber eine aufmerksame Bürodame.<br>Fessel-Katze ist nach Feierabend Stammkunde.<br>Greift schnell an und ist stark gegen rote Feinde.	Ist vielleicht keine Katze. Liebt Gewalt.<br>Greift schnell an und ist stark gegen rote Feinde.<br>	Dieser düstere Lord knüppelt Feinde skrupellos mit einer<br>Leuchtröhre nieder. Seine schnellen Angriffe sind<br>roten und schwarzen Gegnern mehr als ebenbürtig.
014	Diese süßen Kleinen wurden ausgesetzt.<br>Jetzt kämpfen sie sich mit DEM RECHT AUF IHRER SEITE<br>und hohem Tempo durchs Leben. Flächenangriff.	Durch das harte Leben sind sie wild geworden.<br>Wir sollten ihnen besser aus dem Weg gehen.<br>Wer weiß, was sie sonst tun. Flächenangriff.	Eine Eliteeinheit, die Frieden wahrt, indem sie Feinde der<br>Gesellschaft angreift. Kann schwarze Feinde<br>schwächen. Flächenangriff.
015	Auch die kalten Temperaturen können dieser<br>Wollmischung nichts anhaben.<br>Fortgeschrittene Variante der Hübsche-Beine-Katze.	Hier ist der einzig wichtige Fleck gut verdeckt.<br>Zweifelhaft, ob das irgendwelchen Schutz bietet.<br>Fortgeschrittene Variante der Hübsche-Beine-Katze.	Hat sich früher geschämt, unbedeckt in den Kampf zu ziehen,<br>aber eine nette Katze kam zu Hilfe geeilt ...<br>mit einem Lolli. Flächenangriff.
016	Hofft, ein Star zu werden.<br>Sie singt jeden Tag auf den Straßen.<br>Falls du ihr begegnest, grüß sie schön.	Dank ihrer Fans ist sie jetzt ein Star!<br>Sie ist sogar der größte Star von allen!<br>Bitte unterstütze sie! Sie ist auf dem steilen Weg nach oben!	Moneko ist jetzt die Pop-Queen des Katzenimperiums,<br>aber ihre Fans aus den frühen Tagen vergisst sie nie.<br>Mini-Wellen mit Chance auf Haudrauf-Treffer!
017	Die coolste Katze im Kiez.<br>Darf kein Motorrad fahren – die Eltern verbieten es.<br>Flächenangriff.	Born to be wild! Ist von Zuhause ausgezogen<br>und hat sich ein Motorrad gekauft!<br>Flächenangriff.	Die Konjunktur hat sie gezwungen, ein Rad abzutreten,<br>aber sie versucht, positiv zu bleiben.<br>Flächenangriff.
018	Einer der stärksten Kämpfer.<br>Ist der Rivale von Axtkatze. 10 Siege, 1 Niederlage.<br>Stark gegen rote Feinde.	Hat gelernt, Tiere herbeizurufen.<br>Reitet für mehr Beweglichkeit auf einem Frosch.<br>Stark gegen rote Feinde.	Tanzt über den Himmel und greift Feinde mit gekonnten<br>Ninjitsu-Attacken an. Billig in der Herstellung, aber<br>sehr stark gegen rote Feinde!
019	Studiert an einer gewissen Filmakademie.<br>Hauptfach: Spezialeffekte und Make-up.<br>Stark gegen rote Feinde.	Hat hierfür eine 1 im Make-up-Kurs abgesahnt.<br>Behauptet, er könnte das besser als Fischkatze.<br>Stark gegen rote Feinde.	Selbst ein rostiger Nagel kann die Liebe in ihrem Herzen<br>nicht stoppen. Vielseitiger als Fischkatze:<br>stark gegen rote/Zombie-Feinde. Flächenangriff.
020	Ehrlichkeit ist der Weg des Kriegers.<br>Gesundheit und Angriff außergewöhnlich stark.<br>Eine rundum solide Katze.	Kennt sich jetzt auch mit Ritterlichkeit aus.<br>Gesundheit und Angriff außergewöhnlich stark.<br>Eine rundum solide Katze.	Wer sagt, man kann nur entweder Gebäck ODER Gemetzel lieben?<br>Dieser Küchenexperte wirft mächtige Schlagsahnehäubchen<br>nach seinen Feinden, um sie zu lähmen.
021	Die Panzer-Katze hat nicht zugehört, als es hieß:<br>Die Größe spielt keine Rolle.<br>Verfügt über einen etwas stärkeren Angriff. Flächenangriff.	Hat ihre Berufung gefunden: andere Sumo-Katzen verpflegen.<br>Iss ja deinen Teller leer, sonst ...<br>Verfügt über einen etwas stärkeren Angriff. Flächenangriff.	Verteidigung UND Nährwert in einer handlichen Portion.<br>Widerstandsfähiger als die Panzer-Katze und schneller durch<br>intensives Training. Flächenangriff.
