0|S0|I0	Speed Up
1|S1|I1	Treasure Radar
2|S2|I2	Rich Cat
3|S3|I3	Cat CPU
4|S4|I4	Cat Jobs
5|S5|I5	Sniper the Cat
6|S6|I201	XP
7|S7|I217	NP
8	dummy
9	dummy
10	5000 XP
11	10000 XP
12	30000 XP
13	50000 XP
14	100000 XP
15	200000 XP
16	500000 XP
17	1000000 XP
18	2000000 XP
19	XP 500000
20|S11|I202	Cat Ticket
21|S12|I203	Rare Ticket
22|S13|I200	Cat Food
23|S16|I400	Lucky Ticket
26|S17|I403	Lucky Ticket
27|S18|I404	Lucky Ticket
28|S19|I405	Lucky Ticket
29|S20|I204	Platinum Ticket
30|S30|I500	Purple Catfruit Seed
31|S31|I501	Red Catfruit Seed
32|S32|I502	Blue Catfruit Seed
33|S33|I503	Green Catfruit Seed
34|S34|I504	Yellow Catfruit Seed
35|S35|I505	Purple Catfruit
36|S36|I506	Red Catfruit
37|S37|I507	Blue Catfruit
38|S38|I508	Green Catfruit
39|S39|I509	Yellow Catfruit
40|S40|I510	Epic Catfruit
41|S41|I511	Elder Catfruit Seed
42|S42|I512	Elder Catfruit
43|S43|I513	Epic Catfruit Seed
44|S44|I514	Gold Catfruit
45|S21|I406	Lucky Ticket
46|S22|I407	Lucky Ticket
47|S23|I408	Lucky Ticket
48|S24|I409	Lucky Ticket
49|S25|I410	Lucky Ticket
50|S50|I600	Catseye [Special]
51|S51|I601	Catseye [Rare]
52|S52|I602	Catseye [Super Rare]
53|S53|I603	Catseye [Uber Rare]
54|S54|I604	Catseye [Legend]
55|S55|I700	Catamin [A]
56|S56|I701	Catamin [B]
57|S57|I702	Catamin [C]
58|S58|I605	Catseye [Dark]
60|S60	Cat Cannon Attack
61|S61	Cat Cannon Range
62|S62	Cat Cannon Charge
63|S63	Worker Cat Rate
64|S64	Worker Cat Wallet
65|S65	Base Defense
66|S66	Research
67|S67	Accountant
68|S68	Study
69|S69	Cat Energy
70|S70	Cat Ally: Dummy 1
71|S71	Cat Ally: Dummy 2
72|S72	Cat Ally: Dummy 3
73|S73	Cat Ally: Dummy 4
74|S74	Cat Ally: Dummy 5
75|S26|I411	Lucky Ticket
76|S76|I205	Lucky Ticket
77|S77|I206	G Ticket
78	XP 100000
80|S80|I6	XP
81|S81|I7	XP
82|S82|I8	XP
83|S83|I9	XP
84|S84|I10	XP
85|S85|I610	Bricks
86|S86|I611	Feathers
87|S87|I612	Coal
88|S88|I613	Sprockets
89|S89|I614	Gold
90|S90|I615	Meteorite
91|S91|I616	Beast Bones
92|S92	Engineers
93|S93|I207	Lucky Ticket
94|S94|I208	G Ticket
95|S95|I209	G Ticket
96|S96|I210	G Ticket
97|S97|I211	G Ticket
98|S98|I212	G Ticket
99|S99|I213	Lucky Ticket
100|S100|I214	G Ticket
101|S101|I215	Lucky Ticket
102|S102|I216	G Ticket
103|S103|I218	G Ticket
104|S104|I219	Lucky Ticket
105|S105|I220	Leadership
106|S106|I221	G Ticket
107|S107|I222	Lucky Ticket
108|S108|I223	G Ticket
109|S109|I224	G Ticket
110|S110|I225	Lucky Ticket
112|S112|I226	Lucky Ticket
113|S113|I227	G Ticket
114|S114|I228	G Ticket
115|S115|I229	G Ticket
116|S116|I230	Lucky Ticket
117|S117|I231	Lucky Ticket
118|S118|I232	G Ticket
119|S119|I233	G Ticket
120|S120|I234	G Ticket
121|S121|I235	G Ticket
122|S122|I236	Lucky Ticket
123|S123	Restart Pack
124|S124|I237	G Ticket
125|S125|I238	G Ticket
126|S126|I239	Lucky Ticket
127|S127|I240	Lucky Ticket
128|S128|I241	G Ticket
129|S129|I242	G Ticket
130|S130|I243	G Ticket
131|S131|I244	G Ticket
132|S132|I245	Lucky Ticket
133|S133|I246	G Ticket
134|S134|I247	Lucky Ticket
135|S135|I248	G Ticket
136|S136|I249	Lucky Ticket
137|S137|I413	Bikkuriman Choco
138|S138|I250	G Ticket
139|S139|I251	Lucky Ticket
140|S140|I617	Ammonite
141|S141|I252	G Ticket
142|S142|I253	G Ticket
143|S143|I254	Lucky Ticket
144|S144|I255	G Ticket
145|S145|I256	Legend Ticket 
146|S146|I257	G Ticket
147|S147|I258	Lucky Ticket
148|S148|I259	Lucky Ticket
149|S149|I260	G Ticket
150|S150|I261	G Ticket
151|S151	Endless Rich Cats for 3 hours
152|S152	Endless Cat CPUs for 3 hours
153|S153	Endless Sniper the Cats for 3 hours
154|S154|I262	G Ticket
155|S155|I263	Lucky Ticket
156|S156|I264	G Ticket
157|S157|I270	Platinum Shard
158|S158|I414	Legend Net
159	5000 XP
160|S160|I515	Aku Catfruit Seed
161|S161|I516	Aku Catfruit
164|S164|I517	Gold Catfruit Seed
166|S166|I418	Love Letter
167|S167|I518	Purple B. Stone
168|S168|I519	Red B. Stone
169|S169|I520	Blue B. Stone
170|S170|I521	Green B. Stone
171|S171|I522	Yellow B. Stone
172|S172|I419	Holy Water
173|S173|I420	Legend Net
174|S174|I710	Bronze Medal
175|S175|I711	Silver Medal
176|S176|I712	Gold Medal
177|S177|I713	Platinum Medal
