000	The Basic Cat<br><br>	Charm point: muscle definition.<br>Basic Cat.<br>	Charm point: muscle definition.<br>Added charm point: beautiful hair.<br>
001	Tough. High health. (Area Attack)<br>Strong enough to move a pebble.<br>	Rigid defense. Now with corners (Area Attack)<br>Strong enough to move a small rock.<br>	Can take a beating thanks to elasticity.<br>Really Good ™ Defense. (Area Attack)<br>Strong enough to move two small rocks.
002	Combat maniac.<br>Strong against red enemies.<br>	Hero wannabe.<br>Strong against red enemies.<br>	Dark Knight wannabe<br>Decent Battle Cat<br>Strong against red enemies.
003	Able to do very a powerful long range attack.<br>Exceptional attack power and range.<br>	Has pride in his overly beautiful legs.<br>Exceptional attack power and range.<br>	Every day is Leg Day. Mastered the Art of Leg.<br>Exceptional attack power and range.<br>Strong against Aliens!
004	Thinks quick, acts quick, and uses his head.<br>Runs like the wind!<br>	Thinks quick, acts quick, and uses his head.<br>Headbangs only to Rock'n'Roll!<br>	Thinks quick, acts quick, and uses his head.<br>Uses his mane to clean the house.<br>
005	Has the health of a pea.<br>Exceptional attack power (Area Attack)<br>	Managed to overcome gravity.<br>Good against multiple enemies (Area Attack)<br>	It is said that it destroyed a city once<br>with its beams of light. Might<br>weaken Angel attacks (Area Attack)
006	Exceptional melee capability.<br>Strong against Red enemies.<br>	Managed to become a carnivorous whale.<br>Strong against Red enemies.<br>	Perfected his form while on vacation.<br>Might perform Critical attacks<br>Strong against Red enemies.
007	Able to attack enemies from a distance.<br>Powerful single shot long range attack.<br>	Found its way here from a fantasy world.<br>Powerful single shot long range attack.<br>	Don't ask how he made it into the Dragon Elite.<br>Excellent long distance attacks.<br>Powerful single shot long range attack.
008	Blessed with extreme attack power and<br>ridiculous amounts of health (Area Attack)<br>	Lord of Destruction (?) (Area Attack)<br>Extreme attack power and health.<br>	Might knockback enemies. (Area Attack)<br>The Real Lord of Destruction?<br>Don't stretch your shirt like this.
009	Maintains a high level of professionalism.<br>Works very well with Sexy Legs Cat.<br>Exceptional Area Attack power and range.	Her love is limitless!<br>Works very well with Sexy Legs Cat.<br>Exceptional Area Attack power and range.	Dominated the bareknuckle boxing circuit with<br>long distance Area Attacks. Paired with legs<br>that float like a butterfly, really stings like a bee!
010	Mid-range attack specialist. (Area Attack)<br>Can fight off multiple enemies at once.<br>	Adopted Drunken Fist style ?<br>… or just on a bender? (Area Attack)<br>	A legendary dancer who infuses his strikes<br>with fiery passion. So shy that he mastered<br>walking backwards to avoid eye contact. (Area)
011	Mr. is here from the popular "Mr." series.<br>The series has trained his legs for speed,<br>and he can shoot down all the enemies. (Area)	Mr. is here from the popular "Mr." series.<br>The series has trained his legs for speed,<br>and now he has a bazooka. BAM. (Area)	Mr. from the world-famous "Mr." games!<br>He surges towards enemies, beating them down<br>with a homemade boxing-glove gun. (Area)
012	Has extremely high stamina.<br>Will happily take a beating from anyone.<br>Strong against Red enemies.	Wants more pain.<br>Will happily take a beating from anyone.<br>Strong against Red enemies.	Offers himself up as a shield to achieve<br>transcendant pleasure(?). Strong against Red,<br>might survive a lethal attack.
013	A very caring office worker during the day.<br>Bondage Cat is her after hours regular.<br>A quick attacker and strong against red enemies.	Might not be a Cat, loves violence.<br>A quick attacker and strong against red enemies.<br>	Ruthlessly striking down enemies with a<br>flourescent bulb, this Dark Lord's quick attacks<br>are more than a match for any Red or Black.
014	These poor guys have been abandoned.<br>They are now fending for themselves<br>with GREAT JUSTICE and speed (Area Attack)	The hard life turned them towards<br>the wild side. We should avoid them now.<br>Who knows what they'll do (Area Attack)	An elite unit who keep the peace by rushing<br>at the enemies of society. Might weaken<br>Black enemy attacks (Area Attack)
015	The cold weather is nothing<br>against the warm woolen material.<br>Advanced variation of Sexy Legs Cat	Has the only important point covered.<br>Not sure if it offers any protection.<br>Advanced variation of Sexy Legs Cat	Used to be ashamed to go into battle exposed,<br>but a kind cat came along and lent a hand…<br>err… lollipop. Gained Area attacks!
016	Hoping to become an idol.<br>She sings on the streets everyday.<br>You might see her around, please say hi.	Thanks to everyone, she made it to stardom!<br>Now she's everyone's favorite star!<br>Please support her! The future is still bright!	
017	The coolest Cat on the block. (Area Attack)<br>Can't ride a real bike - parents said no.<br>	Born to be wild! (Area Attack)<br>Moved out and finally got his motorcycle!<br>	Was forced to scale down the number of wheels<br>thanks to a recession, but still stays positive.<br>Attacks groups of enemies (Area attack)
018	One of the strongest fighters.<br>Rivals with Axe Cat. 10 wins, 1 loss.<br>Strong against Red enemies.	Learned how to summon animals.<br>Rides a frog for better mobility.<br>Strong against Red enemies.	Dances across the sky, assaulting enemies<br>using advanced ninjutsu. Cheap to produce,<br>very strong against Red enemies!
019	Studies at a certain film academy.<br>Majors in special effects and makeup.<br>Strong against Red enemies.	Got an A in his makeup class with this.<br>Argues that he does better than Fish Cat.<br>Strong against Red enemies.	Even a rusty nail can't stop the love in his heart<br>from beating. More versatile than Fish Cat:<br>strong against Red/Zombies, with area attacks.
020	Sincerity is the way of the warrior.<br>Exceptional health and attack.<br>A very well-rounded Cat.	Added chivalry to his repertoire.<br>Exceptional health and attack.<br>A very well-rounded Cat.	Who says you can't love both cupcakes and<br>carnage? A kitchen pro who flings powerful<br>gobs of whipped cream to slow enemies.
021	Tank Cat didn't listen<br>when they said that size doesn’t matter.<br>Now with somewhat stronger attack (Area Attack)	Found his calling feeding other Sumo Cats.<br>Make sure you finish your food… or else.<br>Has a somewhat stronger attack (Area Attack)	Defense AND nutrition in a convenient hand-sized<br>package. More durable than Tank Cat, with<br>quickness from intense training (Area Attack)
022	No one can stop the beats!<br>Cheap to produce. Comes with bonus groove.<br>It's boogie time! Go! Go! Cat!	Beats have brought this one to eleven!<br>Cheap and fast to produce. Everybody dance!<br>Dance til you drop! Sammmbaaaaa!!111one	Out to bring joy to the senoritas of the world.<br>He's never been to Mexico, he's just a Mariachi<br>nerd. Can send enemies flying!
023	Found a nicely fitting skirt at a boutique.<br>Likes to wear it out… all the time.<br>Advanced variation of Sexy Legs Cat	Looking for some variety, stumbled across<br>a garter belt at the dollar store.<br>Advanced variation of Sexy Legs Cat	Chose traditional undies to better show off<br>shapely legs, and started a viral fashion trend.<br>Rapid attacks with chance to break Barriers!
024	Descended from the fields of Valhalla<br>to provide salvation for the Battle Cats!<br>Uses the Heavenly Spear Meownir (Area Attack)	Changed to her final form.<br>Troubled because God keeps hitting on her.<br>Uses the Heavenly Spear Meownir (Area Attack)	The curse is broken, and the savior of Catkind<br>has returned! The restored Meownir pierces foes,<br>freezing them in their tracks. (Area Attack)
025	An ancient Cat weapon that was rumored<br>to have caused the first apocalypse.<br>Has unearthly offensive power (Area Attack)	Turns out the first apocalypse was actually<br>caused by this one. You can see why…<br>Has unearthly offensive power (Area Attack)	They say the power to obliterate Earth is already<br>his. Freed of the suit which shackled his power,<br>his power and speed is unmatched (Area Attack)
026	Joined the war especially in order to seek "sweets".<br>Her ultimate attack is unleashing her ferocious dash!<br>Does joining the war stop her pursuit of hot guys?	Joined the war especially in order to seek "sweets".<br>She turned from a tomboy into a sexy princess.<br>Her ultimate attack is unleashing her ferocious dash!	
027	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and bought an item in a wig shop.	A cat who travels the world in order to seek true beauty.<br>He admired a princess he has met in the middle of the<br>journey and spent an entire fortune on plastic surgery.	
028	An experimental weapon: one speedy Cat,<br>protected by state-of-the-art gashapon plastic.<br>Packs a punch, but definitely can't take one.	Capsule Cat felt lonely and posted an ad for<br>roommates. Overestimated the space in his flat.<br>It's always cuddle time, whether they like it or not!	
029	Wears the mask which he borrowed without permission<br>from the adventurer Gamatoto who found the mask.<br>His only capability is wearing the mask though.	Finally became a wrestler.<br>Due to his class change, his talents<br>have increased considerably. (Area)	
030	A Cat that has reached a state of peace<br>and pushed its body beyond physical limits.<br>Might slow Floating enemies (Area Attack)	A Bodhisattva Cat who has shown<br>compassion to many and all Battle Cats.<br>Might slow Floating enemies (Area Attack)	Enlightened compassion flows from this Cat.<br>But they say even the Buddha has a breaking<br>point. Area attacks might weaken/slow Floating.
031	Known as the Bancho of Cat School.<br>Might freeze Floating enemies (Area Attack)<br>	Throwing a fit of rage because his dad<br>ate his ice cream that was in the fridge.<br>Might freeze Floating enemies (Area Attack)	A naughty Cat known as king of the Angry Fist.<br>Loves pachinko, trades his winnings for ice cream.<br>Might freeze Floating/Relics (Area Attack)
