000			Story of Legends
000-000		Empieza la Leyenda
000-000-000	Terremoto
000-000-001	Regreso del Terror
000-000-002	Atardecer Triste
000-000-003	Humedal Melancólico
000-000-004	Parque de Rebotes
000-000-005	Sonrisa Amable
000-000-006	Guardián del Rancho
000-000-007	León Durmiente
000-001		Tierra de Pasión
000-001-000	Miaundalucía
000-001-001	Prado de Paella
000-001-002	Agujero Flamenco
000-001-003	Río de Sangría
000-001-004	Serranía de Gazpacho
000-001-005	Noche de Churros
000-001-006	Jardines de Mojama
000-001-007	Desierto de Tapas
000-002		Desierto de Glucosamina
000-002-000	Dunas de Condroitina
000-002-001	Ruinas de Sesamina
000-002-002	Cueva de Isoflavonas
000-002-003	Colina de Catequina
000-002-004	Ocaso de Licopeno
000-002-005	Oasis de Propóleo
000-002-006	Nevada de Péptidos
000-002-007	Montaña Hialurónica
000-003		Gatos Nadadores
000-003-000	Zambullida Prematura
000-003-001	Azul Océano Hondo
000-003-002	Cala de Sirenas
000-003-003	Laguna del Caos
000-003-004	Juegos de Piratas
000-003-005	Dilema del Pescador
000-003-006	Charcas de Algas
000-003-007	Mar Salada
000-004		Terreno Escabroso
000-004-000	Minerales Preciosos
000-004-001	Cavernas Torneadas
000-004-002	Túneles Tentadores
000-004-003	Gruta Blandita
000-004-004	Cumbres Borrascosas
000-004-005	Puente de Suspense
000-005		Calle del Oeste
000-005-000	Amanecer del Pistolero
000-005-001	Refugio de Vaqueros
000-005-002	Noche Forajida
000-005-003	Pueblo Yanqui
000-005-004	Viajero Errante
000-005-005	Guardia Decepcionado
000-005-006	Montaña de Vaqueros
000-005-007	Noche de Rodeo
000-006		Mar de Atún
000-006-000	Costa de Atún Rojo
000-006-001	Puerto Fresco
000-006-002	Océano Azul
000-006-003	Mares de Carpacho
000-006-004	Mar Económico
000-006-005	Atún Táctico
000-006-006	Frente de Atún Congelado
000-006-007	Filete de Cueva
000-007		Isla de Bambú
000-007-000	Campo Espinoso
000-007-001	Costa de Bambú
000-007-002	Selva de Asesinos
000-007-003	Pantano Asqueroso
000-007-004	Cueva Húmeda
000-007-005	Calle de Polvo Estelar
000-007-006	Acantilado de Setas
000-007-007	Espíritu Limítrofe
000-008		Cueva Blandita
000-008-000	Túnel Lácteo
000-008-001	Arma Oscura y Suave
000-008-002	Mural del Diablo
000-008-003	Sopla el Viento
000-008-004	Asesino Juvenil
000-008-005	Roca Disgustada
000-008-006	Cueva Inundada
000-008-007	Se Armó la Gorda
000-009		Volcán Volkanos
000-009-000	Peñón de Termas
000-009-001	Géiser Gentil
000-009-002	Magma Denso
000-009-003	Jaula de Fuego
000-009-004	Defensor Volcánico
000-009-005	Caldera Llameante
000-010		Gatistoria Interminable
000-010-000	Camino Potencial
000-010-001	Árbol Sombrío
000-010-002	Canción en el Viento
000-010-003	Carretera Filosofal
000-010-004	Campana Limítrofe
000-010-005	Río de Lágrimas
000-010-006	Camino Brillante
000-010-007	Cueva de Pruebas
000-011		Castillo de Peces
000-011-000	Murmullo del Mar
000-011-001	Isla con Oleaje
000-011-002	La del Pulpo
000-011-003	Reposo de Poseidón
000-011-004	Playa Luz de Luna
000-011-005	Coral Coralino
000-011-006	Arca de la Luna
000-011-007	Sardinas Asesinas
000-012		Isla de Sushi
000-012-000	Campo de Atún
000-012-001	Campo de Cangrejos
000-012-002	Cueva de Salmones
000-012-003	Cueva de Erizos de Mar
000-012-004	Bosque de Caviar
000-012-005	Bahía de Natto
000-012-006	Bosque de Fletán
000-012-007	Frontera de Gambas
000-013		El Rascador
000-013-000	Pasillo de Cartón
000-013-001	Sueño de Hierba Gatera
000-013-002	Pared Crujiente
000-013-003	Sortear el Arenero
000-013-004	Columna Crujiente
000-013-005	Gigante Reprobador
000-014		Partenón
000-014-000	Altar de Zeus
000-014-001	Espada de Aquiles
000-014-002	Sendero de Eros
000-014-003	Amanecer de Gaia
000-014-004	Puertas de Afrodita
000-014-005	Laberinto de Hades
000-015		Playa con Marea Baja
000-015-000	Cala de Almejas
000-015-001	Mamíferos Varados
000-015-002	Territorio Bikini
000-015-003	Mar de Boyas
000-015-004	Campo de Sombrillas
000-015-005	Bañador Retro
000-015-006	Arena Cristalina
000-015-007	Océano de Estrellas
000-016		Alcatraz
000-016-000	Costa de Gaviotas
000-016-001	Isla de Pelícanos
000-016-002	Base Subterránea
000-016-003	Jungla de Villanos
000-016-004	Juego de la Gallina
000-016-005	Juicio Felino
000-016-006	Pradera Prisionera
000-016-007	Carcelero Cadáver
000-017		Fuga de Prisión
000-017-000	Pecados y Castigos
000-017-001	Pena de Prisión
000-017-002	Túnel de Escape
000-017-003	Caída Mortal
000-017-004	Zona de Trampas
000-017-005	El Gran Evasor
000-018		Cárcel de Capone
000-018-000	Diario de Prisión
000-018-001	Última Banda
000-018-002	Abajo la Prisión
000-018-003	Rey de la Libertad
000-018-004	Sino del Mentiroso
000-018-005	Tabú de la Pocilga
000-019		Ruta de la Seda
