000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
001	Duro y con mucha vida. (Ataque de área).<br>Tan fuerte que es capaz de mover una pluma ¡él solito!<br>	Buena defensa. Y ahora tiene esquinas. (Ataque de área).<br>Tan fuerte, tan fuerte que mueve piedrecitas de una en una.<br>	Gracias a su elasticidad, aguanta bien las tundas.<br>Defensa superestupenda. (Ataque de área).<br>Tan fuerte, tan fuerte que mueve dos piedrecitas a la vez.
002	Es un flipado de la lucha.<br>Eficaz contra enemigos rojos.<br>	Tiene ínfulas de héroe.<br>Eficaz contra enemigos rojos.<br>	Quiere ser un caballero oscuro cuando sea<br>grande. Es un gato de batalla decente.<br>Eficaz contra enemigos rojos.
003	Tiene un potente ataque a distancia.<br>También son excepcionales su poder de ataque y su alcance.<br>	Tiene unas piernas tan largas que le llegan al suelo.<br>También son excepcionales su poder de ataque y su alcance.<br>	Todos los días toca hacer piernas. Domina el arte piernil.<br>También son excepcionales su poder de ataque y su alcance.<br>Eficaz contra álienes.
004	Piensa rápido, actúa rápido y utiliza la cabeza.<br>¡Y corre como el viento!<br>	Piensa rápido, actúa rápido y utiliza la cabeza.<br>¡De cabeza a rocanrolear!<br>	Piensa rápido, actúa rápido y utiliza la cabeza.<br>Barre la casa con la melena.<br>
005	Tiene la vida de un estornudo.<br>Poder de ataque excepcional. (Ataque de área).<br>	Consiguió vencer la batalla contra la gravedad.<br>Es eficaz contra varios tipos de enemigos. (Ataque de área).<br>	Cuentan que destrozó una ciudad<br>con sus rayos de luz. Puede desgastar<br>a enemigos ángeles. (Ataque de área).
006	Es un gato con una increíble fuerza cuerpo a cuerpo.<br>Eficaz contra enemigos rojos.<br>	Es un gato que mutó en una ballena carnívora.<br>Eficaz contra enemigos rojos.<br>	Es un gato que alcanzó su forma definitiva en vacaciones.<br>Puede infligir daño crítico.<br>Eficaz contra enemigos rojos.
007	Es un buen atacante desde lejos.<br>Tiene un buen ataque individual a distancia.<br>	Ha llegado desde un mundo fantástico.<br>Tiene un buen ataque individual a distancia.<br>	No preguntes cómo ha entrado en la élite draconiana.<br>Tiene un excelente ataque a distancia<br>y un buen ataque individual.
008	Es un gato con un gran poder de ataque<br>y mucha vida. (Ataque de área).<br>	Señor de la destrucción, dicen... (Ataque de área).<br>Tiene un gran poder de ataque y mucha vida.<br>	Puede repeler. (Ataque de área).<br>¿El verdadero señor de la destrucción?<br>La camiseta le está demasiado apretada...
009	A profesional no hay quien la gane<br>y funciona bien con el Gato Muslamen.<br>Gran daño de área y alcance.	Tiene amor para regalar<br>y funciona bien con el Gato Muslamen.<br>Gran daño de área y alcance.	Ganó el circuito de boxeo a puñetazo limpio con sus<br>ataques a distancia. Con un par de piernas que vuelan<br>como una mariposa, no hay quien pare sus ataques.
010	Especialista en ataques a media distancia. Puede<br>enfrentarse a varios enemigos a la vez. (Ataque de área).<br>	No se sabe si está fingiendo<br>o si está borracho de verdad. (Ataque de área).<br>	Un bailarín legendario que lanza golpes con<br>una gran pasión. Es tan tímido que camina hacia<br>atrás para evitar el contacto visual. (Ataque de área).
011	Es el prota de aquella serie tan famosa... Ay, ¿cómo<br>se llamaba?... Es igual, allí entrenó su velocidad y<br>dispara a todos los enemigos. (Ataque de área).	Es el prota de aquella serie tan famosa... Ay, ¿cómo<br>se llamaba?... Es igual, allí entrenó su velocidad y<br>dispara a los enemigos con su bazuca. (Ataque de área).	El Sr. de la famosa saga de Sr.<br>Se lanza hacia sus enemigos y los derriba con<br>un guante de boxeo casero. (Ataque de área).
012	Tiene muchísima resistencia.<br>Quiere una buena tunda y le importa poco quién se la dé.<br>Eficaz contra enemigos rojos.	Busca más dolor.<br>Quiere una buena tunda y le importa poco quién se la dé.<br>Eficaz contra enemigos rojos.	Ofrece su cuerpo como escudo para experimentar un placer<br>trascendental. O eso dice... Eficaz contra enemigos rojos.<br>Puede sobrevivir a un golpe mortal.
