0|S0|I0	Accélération
1|S1|I1	Détecteur de trésor
2|S2|I2	Chat fortuné
3|S3|I3	Chat numérique
4|S4|I4	Chat diplômé
5|S5|I5	Chat tireur
6|S6|I201	XP
7|S7|I217	NP
8	dummy
9	dummy
10	5 000 XP
11	10 000 XP
12	30 000 XP
13	50 000 XP
14	100 000 XP
15	200 000 XP
16	500 000 XP
17	1 000 000 XP
18	2 000 000 XP
19	500 000 XP
20|S11|I202	Ticket Chapsule
21|S12|I203	Ticket rare
22|S13|I200	Miam
23|S16|I400	Ticket chance
26|S17|I403	Ticket chance
27|S18|I404	Ticket chance
28|S19|I405	Ticket chance
29|S20|I204	Ticket platine
30|S30|I500	Graine de Chagrume violet
31|S31|I501	Graine de Chagrume rouge
32|S32|I502	Graine de Chagrume bleu
33|S33|I503	Graine de Chagrume vert
34|S34|I504	Graine de Chagrume jaune
35|S35|I505	Chagrume violet
36|S36|I506	Chagrume rouge
37|S37|I507	Chagrume bleu
38|S38|I508	Chagrume vert
39|S39|I509	Chagrume jaune
40|S40|I510	Chagrume épique
41|S41|I511	Graine Chagrume ancestral
42|S42|I512	Chagrume ancestral
43|S43|I513	Graine Chagrume épique
44|S44|I514	Chagrume doré
45|S21|I406	Ticket chance
46|S22|I407	Ticket chance
47|S23|I408	Ticket chance
48|S24|I409	Ticket chance
49|S25|I410	Ticket chance
50|S50|I600	Œil de Chat [spécial]
51|S51|I601	Œil de chat [rare]
52|S52|I602	Œil de chat [super rare]
53|S53|I603	Œil de chat [ultra rare]
54|S54|I604	Œil de chat [légendaire]
55|S55|I700	Vichamine [A]
56|S56|I701	Vichamine [B]
57|S57|I702	Vichamine [C]
58|S58|I605	Œ.-de-chat [ombre]
60|S60	Attaque du Chanon
61|S61	Portée du Chanon
62|S62	Charge du Chanon
63|S63	Efficacité Chadjoint
64|S64	Portefeuille Chadjoint
65|S65	Défense de la base
66|S66	Recherche
67|S67	Rentabilité
68|S68	Expertise
69|S69	Charburant
70|S70	Cat Ally: Dummy 1
71|S71	Cat Ally: Dummy 2
72|S72	Cat Ally: Dummy 3
73|S73	Cat Ally: Dummy 4
74|S74	Cat Ally: Dummy 5
75|S26|I411	Ticket chance
76|S76|I205	Ticket chance
77|S77|I206	Ticket chance G
78	100 000 XP
80|S80|I6	XP
81|S81|I7	XP
82|S82|I8	XP
83|S83|I9	XP
84|S84|I10	XP
85|S85|I610	Briques
86|S86|I611	Plumes
87|S87|I612	Charbon
88|S88|I613	Rouages
89|S89|I614	Or
90|S90|I615	Météorites
91|S91|I616	Os de bête
92|S92	Ingénieurs
93|S93|I207	Ticket chance
94|S94|I208	Ticket chance G
95|S95|I209	Ticket chance G
96|S96|I210	Ticket chance G
97|S97|I211	Ticket chance G
98|S98|I212	Ticket chance G
99|S99|I213	Ticket chance
100|S100|I214	Ticket chance G
101|S101|I215	Ticket chance
102|S102|I216	Ticket chance G
103|S103|I218	Ticket chance G
104|S104|I219	Ticket chance
105|S105|I220	Autorité
106|S106|I221	Ticket chance G
107|S107|I222	Ticket chance
108|S108|I223	Ticket chance G
109|S109|I224	Ticket chance G
110|S110|I225	Ticket chance
112|S112|I226	Ticket chance
113|S113|I227	Ticket chance G
114|S114|I228	Ticket chance G
115|S115|I229	Ticket chance G
116|S116|I230	Ticket chance
117|S117|I231	Ticket chance
118|S118|I232	Ticket chance G
119|S119|I233	Ticket chance G
120|S120|I234	Ticket chance G
121|S121|I235	Ticket chance G
122|S122|I236	Ticket chance
123|S123	Pack de redémarrage
124|S124|I237	Ticket chance G
125|S125|I238	Ticket chance G
126|S126|I239	Ticket chance
127|S127|I240	Ticket chance
128|S128|I241	Ticket chance G
129|S129|I242	Ticket chance G
130|S130|I243	Ticket chance G
131|S131|I244	Ticket chance G
132|S132|I245	Ticket chance
133|S133|I246	Ticket chance G
134|S134|I247	Ticket chance
135|S135|I248	Ticket chance G
136|S136|I249	Ticket chance
137|S137|I413	Bikkuriman Choco
138|S138|I250	Ticket chance G
139|S139|I251	Ticket chance
140|S140|I617	Ammonite
141|S141|I252	Ticket chance G
142|S142|I253	Ticket chance G
143|S143|I254	Ticket chance
144|S144|I255	Ticket chance G
145|S145|I256	Ticket légendaire
146|S146|I257	Ticket chance G
147|S147|I258	Ticket chance
148|S148|I259	Ticket chance
149|S149|I260	Ticket chance G
150|S150|I261	Ticket chance G
151|S151	3 h de Chats fortunés illimités
152|S152	3 h de Chats numériques illimités
153|S153	3 h de Chats tireurs illimités
154|S154|I262	Ticket chance G
155|S155|I263	Ticket chance
156|S156|I264	Ticket chance G
157|S157|I270	Éclat platine
158|S158|I414	Filet légendaire
159	5 000 XP
160|S160|I515	Graine de Chagrume Aku
161|S161|I516	Chagrume Aku
164|S164|I517	Graine de Chagrume doré
166|S166|I418	Lettre d'amour
167|S167|I518	Pierre B. violette
168|S168|I519	Pierre B. rouge
169|S169|I520	Pierre B. bleue
170|S170|I521	Pierre B. verte
171|S171|I522	Pierre B. jaune
172|S172|I419	Eau bénite
173|S173|I420	Filets légendaires
174|S174|I710	Médaille de bronze
175|S175|I711	Médaille d’argent
176|S176|I712	Médaille d’or
177|S177|I713	Médaille platine
179|S179|I523	G. Béhém. violette
180|S180|I524	Gemme Béhém. rouge
181|S181|I525	Gemme Béhém. bleue
182|S182|I526	Gemme Béhém. verte
183|S183|I527	Gemme Béhém. jaune
184|S184|I528	P. Béhémoth épique
185|S185|I422	Charme légendaire
186|S186|I423	Lettre d’amour
187|S187|I618	Brique Z
188|S188|I619	Plumes Z
189|S189|I620	Charbon Z
190|S190|I621	Rouages Z
191|S191|I622	Or Z
192|S192|I623	Météorite Z
193|S193|I624	Os de bête Z
194|S194|I625	Ammonite Z
195|S195|I424	Eau bénite
1001	Chat Jour des sports
1003	Chat salarié
1004	Chat poisson renne
1005	Chat en bronze
1006	Chat droïde
1007	Chat adulte
1008	Chat diabolique
1009	Chats poupées
1010	Minette
1011	Chabaret
1012	Chat koï
1013	Madame mariée
1014	Reine des vacances
1015	Chat vengeur
1016	Chat kung-fu X
1018	Chat mallow
1019	Cat Kart R
1020	Baozi Cat
1021	Chat burger
1022	Chatrouille
1023	Chadeau
1024	Chat gyropode
1025	Chat Awa-Odori
1026	Félin Express
1027	Chat de ligue mineure
1028	Chat stand
1029	Pom-pom Chatte
1030	Chat tueur
1031	Chat curling
1032	Chat œuf
1033	Frères Chats
1035	Squish Ball Cat
1036	Chat volley
1037	Chat en verre
1038	Moneko maboule
1039	Chat jockey
1040	Chat et son chaton
1041	Chat primitif
1042	Toutoumaru
1043	Cat Bros
1044	Forfélin
1045	Chatte Médusa
1046	Chat gluant
1047	Chat cosaque
1048	Professeur Ours-Chat
1049	Urs et Fenrir
1050	Chat rugby
1051	Chat fantôme
1052	Chat boulanger
1053	Chat de pierre
1054	Doron masque ancestral
1055	Chercheur d'ennemis Akus
1056	Chat joueur de flûte
1057	Challigraphe
1058	Bête ancestrale Naala
1059	Œuf ancien N001
1060	Œuf ancien N003
1061	Œuf ancien N004
1062	Œuf ancien N000
1063	Chat tank tueur
1064	Œuf ancien N005
1065	Chat à propulsion
1100	Chat en bronze
1101	Chastronaute
1102	Chat corde à sauter
1103	Chat maboul
1104	Chat tank maboul
1105	Chat borgne maboul
1106	Grand Chat maboul
1107	Chat vache maboul
1108	Chat oiseau maboul
1109	Chat poisson maboul
1110	Chat lézard maboul
1111	Chat titan maboul
1112	Healer
1113	Ururun et Loup
1114	Chat mécanique
1116	Huchat hoop
1118	P’tit Nyandam
1119	Takuya ＆ Yuki
1120	Chat fanfare
1121	HYAKUTARO
1130	Chat tornade
1131	Chaperon Mina
1132	Funghi
1134	Li'l Madoka
1135	Kyubey Cat
1137	PIKOTARO
1139	Miyamoku Musashi
1140	Redhead Yuki Cat
1142	Li'l Shirou
