000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
001	Balèze. Santé élevée.<br>Capable de soulever un caillou. (Att. de zone)<br>	Solide défense. Désormais doté de coins.<br>Capable de soulever un galet. (Att. de zone)<br>	Son élasticité le rend insensible aux coups.<br>Sa défense est Vachement bien. (Att. de zone)<br>Capable de soulever deux galets.
002	Un fou des combats.<br>Assure contre les ennemis rouges.<br>	Un aspirant héros.<br>Assure contre les ennemis rouges.<br>	Un aspirant Chavalier de l’ombre.<br>Un Battle Cat respectable.<br>Assure contre les ennemis rouges.
003	Peut effectuer de puissantes attaques longue portée.<br>Puissance et portée d’attaque exceptionnelles.<br>	Pas peu fier de ses jambes galbées.<br>Puissance et portée d’attaque exceptionnelles.<br>	A tout le temps les jambes à l’air. C’est tout un art !<br>Puissance et portée d’attaque exceptionnelles.<br>Assure contre les aliens.
004	Réfléchit vite et bien. Très réactif.<br>Une vraie flèche !<br>	Réfléchit vite et bien. Très réactif.<br>Ne secoue la tête que sur du rock !<br>	Réfléchit vite et bien. Très réactif.<br>Utilise sa crinière pour « faire le ménage ».<br>
005	Santé minime.<br>Puissance d’attaque exceptionnelle. (Att. de zone)<br>	Est parvenu à défier la gravité.<br>Efficace contre plusieurs ennemis. (Att. de zone)<br>	On raconte qu’il a détruit une ville avec des rayons<br>lumineux, une fois.<br>Peut affaiblir les attaques des anges. (Att. de zone)
006	Capacité de mêlée exceptionnelle.<br>Assure contre les ennemis rouges.<br>	Est parvenu à devenir carnivore.<br>Assure contre les ennemis rouges.<br>	Garde la forme en vacances.<br>Ses attaques peuvent être critiques.<br>Assure contre les ennemis rouges.
007	Peut attaquer les ennemis à distance.<br>Puissante attaque longue portée en un seul tir.<br>	Tout droit sorti d’un monde fantastique.<br>Puissante attaque longue portée en un seul tir.<br>	Ne lui demande pas comment il a rejoint l’élite des dragons.<br>Excellentes attaques longue portée.<br>Puissante attaque longue portée en un seul tir.
008	Doté d’une puissance d’attaque extrême et d’une<br>santé ridiculement élevée. (Att. de zone)<br>	Seigneur de la destruction (?). (Att. de zone)<br>Puissance d’attaque et santé extrêmes.<br>	Peut repousser les ennemis. (Att. de zone)<br>Le vrai seigneur de la destruction ?<br>Ne détend pas ton pull comme ça !
009	Maintient un haut niveau de professionnalisme.<br>S’allie parfaitement au Chat gambettes.<br>Portée et puissance d’attaque de zone exceptionnelles.	Déborde d’amour !<br>S’allie parfaitement au Chat gambettes.<br>Portée et puissance d’attaque de zone exceptionnelles.	Caïd des combats de boxe à pattes nues avec<br>des attaques de zone longue portée. Ses jambes<br>volent comme le papillon et piquent comme l’abeille !
010	Spécialiste des attaques de moyenne portée.<br>Peut repousser plusieurs ennemis à la fois. (Att. de zone)<br>	Un nouveau style de combat à la bouteille ?<br>Ou une simple cuite ? (Att. de zone)<br>	Un danseur de légende qui frappe avec fougue.<br>Tellement timide qu’il maîtrise l’art de marcher<br>à reculons pour éviter tout contact visuel. (Zone)
011	Issu des jeux populaires « Mr. »,<br>qui lui a appris à foncer sur ses petites jambes.<br>Il peut abattre tous les ennemis. (Zone)	Issu des jeux populaires « Mr. »,<br>qui lui a appris à foncer sur ses petites jambes.<br>Il a maintenant un bazooka. BAM. (Zone)	Issu des jeux mondialement connus « Mr. ».<br>Il se rue sur ses ennemis en les frappant de son<br>pistolet-coup de poing artisanal. (Zone)
012	Extrêmement endurant.<br>Accepte avec plaisir de se faire taper dessus.<br>Fort contre les ennemis rouges.	Veut souffrir encore plus.<br>Accepte avec plaisir de se faire taper dessus.<br>Fort contre les ennemis rouges.	Se propose de servir de bouclier pour pouvoir atteindre<br>la jouissance extrême (?). Assure contre les ennemis rouges<br>la jouissance extrême (?). Fort contre les ennemis rouges
013	Une employée de bureau investie au travail.<br>Retrouve le Chat bondage en soirée.<br>Attaquante rapide, forte contre les ennemis rouges.	N’est peut-être pas un Chat. Adore la violence.<br>Attaquante rapide, forte contre les ennemis rouges.<br>	Frappe impitoyablement ses ennemis avec un<br>néon fluo. Les ennemis rouges et noirs ne résistent<br>pas aux attaques rapides de cette souveraine de l’ombre.
014	Ces pauvres matous ont été abandonnés.<br>Mais ils savent se débrouiller seuls et ont le sens de la<br>justice et de la rapidité. (Att. de zone)	La vie ne leur ayant pas fait de cadeau, ils sont devenus<br>sauvages... Mieux vaut ne pas les croiser !<br>Qui sait de quoi ils sont capables... (Att. de zone)	Une unité d’élite qui maintient la paix en éliminant<br>les ennemis de la société.<br>Peut affaiblir les ennemis noirs. (Att. de zone)
015	Le froid ne traverse pas<br>cette laine chaude.<br>Variante améliorée de Chat gambettes.	La partie la plus importante est cachée.<br>Pas sûr qu’elle soit bien protégée...<br>Variante améliorée de Chat gambettes.	Était gêné d’aller au combat tout nu, mais un gentil Chat<br>est venu lui donner un coup de main...<br>enfin, une sucette. (Att. de zone)
016	Aimerait être une idole.<br>Elle chante tous les jours dans la rue.<br>Si tu la croises, passe-lui le bonjour !	Elle est devenue célèbre, hourra !<br>Maintenant, tout le monde l’adore !<br>Apporte-lui ton soutien. La vie lui sourit !	Moneko est devenue la Reine de la pop dans l'Empire des<br>Chats, mais elle n'oublie pas ses précieux fans des premiers<br>jours. Mini-vagues et chance de critique !
017	Le Chat le plus cool du quartier.  Ses parents<br>lui interdisent de conduire une moto. (Att. de zone)<br>	Vieux motard que j'aimais... (Att. de zone)<br>A quitté le nid et a enfin pu s’acheter une moto !<br>	La crise économique l’a forcé à réduire le nombre de roues.<br>Mais il reste positif.<br>Attaque des groupes d’ennemis. (Att. de zone)
018	L’un des combattants les plus puissants.<br>Se mesure souvent au Chat borgne : 10 victoires - 1 défaite.<br>Fort contre les ennemis rouges.	A appris à invoquer les animaux.<br>Se déplace à dos de grenouille pour une meilleure stabilité.<br>Fort contre les ennemis rouges.	Danse dans les airs et attaque ses ennemis avec<br>une technique de ninjutsu avancée. Production abordable,<br>très fort contre les ennemis rouges !
019	Étudie dans une école de cinéma réputée.<br>Se spécialise en maquillage et effets spéciaux.<br>Fort contre les ennemis rouges.	Ce look lui a valu un 20/20 en cours de maquillage.<br>Prétend être meilleur que le Chat poisson.<br>Fort contre les ennemis rouges.	Même un clou rouillé ne peut empêcher son cœur<br>de battre la chamade. Plus polyvalent que le Chat poisson.<br>Fort contre les ennemis rouges/zombies. (Att. de zone)
