0|S0|I0	Accelerazione
1|S1|I1	Radar tesori
2|S2|I2	Gatto riccone
3|S3|I3	Gatto CPU
4|S4|I4	Gatto secchione
5|S5|I5	Gatto cecchino
6|S6|I201	XP
7|S7|I217	NP
8	dummy
9	dummy
10	5.000 XP
11	10.000 XP
12	30.000 XP
13	50.000 XP
14	100.000 XP
15	200.000 XP
16	500.000 XP
17	1.000.000 XP
18	2.000.000 XP
19	XP 500.000
20|S11|I202	Miaobiglietto
21|S12|I203	Biglietto raro
22|S13|I200	Friskat
23|S16|I400	Biglietto fortuna
26|S17|I403	Biglietto fortuna
27|S18|I404	Biglietto fortuna
28|S19|I405	Biglietto fortuna
29|S20|I204	Biglietti platino
30|S30|I500	Seme miagrume viola
31|S31|I501	Seme miagrume rosso
32|S32|I502	Seme miagrume blu
33|S33|I503	Seme miagrume verde
34|S34|I504	Seme miagrume giallo
35|S35|I505	Miagrume viola
36|S36|I506	Miagrume rosso
37|S37|I507	Miagrume blu
38|S38|I508	Miagrume verde
39|S39|I509	Miagrume giallo
40|S40|I510	Miagrume epico
41|S41|I511	Seme miagrume stag.
42|S42|I512	Miagrume stagionato
43|S43|I513	Seme miagrume epico
44|S44|I514	Miagrume oro
45|S21|I406	Biglietto fortuna
46|S22|I407	Biglietto fortuna
47|S23|I408	Biglietto fortuna
48|S24|I409	Biglietto fortuna
49|S25|I410	Biglietto fortuna
50|S50|I600	Occhio [speciale]
51|S51|I601	Occhio [raro]
52|S52|I602	Occhio [super raro]
53|S53|I603	Occhio [ultra raro]
54|S54|I604	Occhio [leggenda]
55|S55|I700	Vitamiao [A]
56|S56|I701	Vitamiao [B]
57|S57|I702	Vitamiao [C]
58|S58|I605	Occhio [Oscuro]
60|S60	Attacco cannone
61|S61	Portata cannone
62|S62	Ricarica cannone
63|S63	Ritmo impiegato
64|S64	Portafogli impiegato
65|S65	Difesa Base
66|S66	Ricerca
67|S67	Contabilità
68|S68	Studio
69|S69	Energia felina
70|S70	Cat Ally: Dummy 1
71|S71	Cat Ally: Dummy 2
72|S72	Cat Ally: Dummy 3
73|S73	Cat Ally: Dummy 4
74|S74	Cat Ally: Dummy 5
75|S26|I411	Biglietto fortuna
76|S76|I205	Biglietto fortuna
