000			Story of Legends
000-000		La leggenda comincia
000-000-000	Scuotiterra
000-000-001	Ritorno del terrore
000-000-002	Blues al tramonto
000-000-003	Umida malinconia
000-000-004	Parco dei salti
000-000-005	Sorriso gentile
000-000-006	Guardiano del ranch
000-000-007	Leone addormentato
000-001		Terra di passioni
000-001-000	Nyandalusia
000-001-001	Campo Paella
000-001-002	Flamencoscuro
000-001-003	Fiume Sangria
000-001-004	Altipiano Gazpacho
000-001-005	Serata churro
000-001-006	Giardino Osso asciutto
000-001-007	Deserto Tapas
000-002		Deserto Glucosamina
000-002-000	Dune di condroitina
000-002-001	Rovine Sesamina
000-002-002	Antro Isoflavone
000-002-003	Collina Catechina
000-002-004	Tramonto licopene
000-002-005	Oasi Propoli
000-002-006	Distesa Peptide
000-002-007	Montagna Ialuronica
000-003		Gatti nuotatori
000-003-000	Lancio prematuro
000-003-001	Blu scuro oceano
000-003-002	Baia Sirena
000-003-003	Laguna Caos
000-003-004	Pirati che passione
000-003-005	Il dilemma del pescatore
000-003-006	Alghe basse
000-003-007	Acqua salata
000-004		Territorio osé
000-004-000	Minerali adorabili
000-004-001	Caverne armoniose
000-004-002	Tunnel che attirano
000-004-003	Cavità spugnose
000-004-004	Vette gemelle
000-004-005	Ponte sinistro
000-005		Strada a ovest
000-005-000	Alba di Gunman
000-005-001	Rifugio del cowboy
000-005-002	Notte da ricercati
000-005-003	Maccheronopoli
000-005-004	Viaggiatore errante
000-005-005	Guardiano deluso
000-005-006	Monte del cowboy
000-005-007	Serata rodeo
000-006		Mare del tonno
000-006-000	Costa Tonno rosso
000-006-001	Molo nuovo
000-006-002	Oceano blu
000-006-003	Acque di Carpaccio
000-006-004	Mar economico
000-006-005	Tonno da guerra
000-006-006	Fronte del tonno surgelato
000-006-007	Filetto dell'antro
000-007		Isola di Bambù
000-007-000	Campo Spinoso
000-007-001	Costa bambù
000-007-002	Giungla serial killer
000-007-003	Palude disgustosa
000-007-004	Antro tozzo
000-007-005	Strada fatata
000-007-006	Rupe fungina
000-007-007	Spirito di confine
000-008		Antro morbido
000-008-000	Tunnel latteo
000-008-001	Arma oscura coccolosa
000-008-002	Murale del diavolo
000-008-003	Il vento soffia
000-008-004	Giovane killer
000-008-005	Pietra sottosopra
000-008-006	Antro allagato
000-008-007	Ciccio B. Goode
000-009		Vulcano Vulkano
000-009-000	Bagno bollente
000-009-001	Geyser gentile
000-009-002	Magma denso
000-009-003	Gabbia di fuoco
000-009-004	Difensore vulcanico
000-009-005	Caldera in fiamme
000-010		La storia infelina
000-010-000	Strada del potenziale
000-010-001	Albero tetro
000-010-002	Canzone al vento
000-010-003	Strada dei filosofi
000-010-004	Campana di confine
000-010-005	Fiumi di lacrime
000-010-006	Via luccicante
000-010-007	Prove profonde
000-011		Castello del pesce
000-011-000	Il mare bisbiglia
000-011-001	Isola delle onde
000-011-002	Mar Polpo
000-011-003	Il riposo di Poseidone
000-011-004	Lido Chiaro di luna
000-011-005	Barriera cora-corallina
000-011-006	L'Arco della luna
000-011-007	Sardine killer
000-012		Isola Sushi
000-012-000	Campo Tonno
000-012-001	Campo Granchio
000-012-002	Antro Salmone
000-012-003	Antro Riccio di mare
000-012-004	Boschi Caviale
000-012-005	Baia Soia
000-012-006	Foresta Halibut
000-012-007	Confine del gambero
000-013		Il graffiatoio
000-013-000	Corridoio di cartone
000-013-001	Sogno di erba gatta
000-013-002	Muro croccante
000-013-003	Trucioli ovunque
000-013-004	Pilastro croccante
000-013-005	Gigante disapprova
000-014		Partenone
000-014-000	L'altare di Zeus
000-014-001	Spada di Achille
000-014-002	Strada di Eros
000-014-003	La nascita di Gaia
000-014-004	Porte di Afrodite
000-014-005	Labirinto di Ade
000-015		Lido Bassamarea
000-015-000	Baia umidiccia
000-015-001	Mammiferi spiaggiati
000-015-002	Territorio del bikini
000-015-003	Pesca della mela in mare
000-015-004	Campo Parasole
000-015-005	Antico costume intero
000-015-006	Sabbia trasparente
000-015-007	Oceano di stelle
000-016		Alcatraz
000-016-000	Costa del gabbiano
000-016-001	Isola del Pellicano
000-016-002	Base sotterranea
000-016-003	Giungla dei cattivi
000-016-004	Gioco del pollo
000-016-005	Prova del Gatto
000-016-006	Prateria Prigione
000-016-007	Carceriere in obitorio
000-017		Tunnel d'evasione
000-017-000	Peccato e punizione
000-017-001	Sentenza in prigione
000-017-002	Tunnel Harry
000-017-003	Cascate mortali
