000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
001	Forte. Salute alta. (Danni ad area)<br>Abbastanza forte da spostare un sassolino.<br>	Difesa rigida. Ora con angoli. (Danni ad area)<br>Abbastanza forte da spostare una piccola roccia.<br>	Grazie all'elasticità sopporta i pestaggi.<br>Ottima™ difesa. (Danni ad area)<br>Abbastanza forte da spostare due piccole rocce.
002	Pazzo per le battaglie.<br>Efficace contro i nemici rossi.<br>	Aspirante eroe.<br>Efficace contro i nemici rossi.<br>	Aspirante cavaliere oscuro.<br>Battle Cat decente.<br>Efficace contro i nemici rossi.
003	Capace di un attacco a distanza molto potente.<br>Potenza d'attacco e raggio eccezionali.<br>	Va fiero delle sue bellissime gambe.<br>Potenza d'attacco e raggio eccezionali.<br>	Allena le gambe ogni giorno. Ha imparato l'arte dell'arto.<br>Potenza d'attacco e raggio eccezionali.<br>Efficace contro alieni!
004	Pensa e agisce velocemente e sa usare la testa.<br>Corre come il vento!<br>	Pensa e agisce velocemente e sa usare la testa.<br>Agita la testa ai concerti rock!<br>	Pensa e agisce velocemente e sa usare la testa.<br>Usa la criniera per spolverare.<br>
005	Ha la salute di un pulcino.<br>Potenza d'attacco eccezionale. (Danni ad area)<br>	È riuscito a superare la gravità.<br>Se la cava contro nemici multipli. (Danni ad area)<br>	Dicono abbia distrutto una città con<br>i suoi raggi di luce. Può indebolire<br>gli attacchi degli angelici. (Danni ad area)
006	Bravissimo nelle zuffe.<br>Efficace contro i nemici rossi.<br>	Riuscì a diventare un'orca carnivora.<br>Efficace contro i nemici rossi.<br>	Ha trovato la forma perfetta in vacanza.<br>Può eseguire danni critici<br>Efficace contro i nemici rossi.
007	Capace di attaccare nemici da lontano.<br>Attacco a distanza con un singolo colpo potente.<br>	È arrivato qui da un mondo fantastico.<br>Attacco a distanza con un singolo colpo potente.<br>	Non chiedere come sia entrato nell'élite dei draghi.<br>Attacchi a distanza eccellenti.<br>Attacco a distanza con un singolo colpo potente.
008	Dotato di potenza d'attacco estrema e<br>una quantità di salute assurda. (Danni ad area)<br>	Signore della distruzione. (Danni ad area)<br>Potenza d'attacco e salute estreme.<br>	Potrebbe respingere i nemici. (Danni ad area)<br>Il vero signore della distruzione?<br>Non indossare magliette così attillate.
009	Mantiene un alto livello di professionalità.<br>Lavora bene con il Gatto Gambe sexy.<br>Potenza dell'danni ad area e raggio eccezionali.	Il suo amore non ha limiti!<br>Lavora bene con il Gatto Gambe sexy.<br>Potenza dell'danni ad area e raggio eccezionali.	Dominava il circuito di boxe a mani nude con<br>attacchi ad area a distanza. Abbinato a gambe<br>che fluttuano come una farfalla, punge come un'ape!
010	Specialista dell'attacco a media distanza (danni ad area).<br>Può sconfiggere più nemici alla volta.<br>	Ha lo stile dell'ubriaco?<br>O è solo sbronzo? (Danni ad area.)<br>	Un ballerino leggendario che mette nei suoi colpi<br>ardente passione. Così timido da imparare a camminare<br>all'indietro per evitare contatti visivi (danni ad area).
