0|S0|I0	スピードアップ
1|S1|I1	トレジャーレーダー
2|S2|I2	ネコボン
3|S3|I3	ニャンピュータ
4|S4|I4	おかめはちもく
5|S5|I5	スニャイパー
6|S6|I201	XP
7|S7|I217	NP
8	ダミー
9	ダミー
10	XP 5000
11	XP 10000
12	XP 30000
13	XP 50000
14	XP 100000
15	XP 200000
16	XP 500000
17	XP 1000000
18	XP 2000000
19	XP 500000
20|S11|I202	にゃんこチケット
21|S12|I203	レアチケット
22|S13|I200	ネコカン
23|S16|I400	福引チケット
24|S14|I401	MH大狩猟チケット
25|S15|I402	まもるよチケット
26|S17|I403	福引チケット
27|S18|I404	福引チケット
28|S19|I405	福引チケット
29|S20|I204	プラチナチケット
30|S30|I500	紫マタタビの種
31|S31|I501	赤マタタビの種
32|S32|I502	青マタタビの種
33|S33|I503	緑マタタビの種
34|S34|I504	黄マタタビの種
35|S35|I505	紫マタタビ
36|S36|I506	赤マタタビ
37|S37|I507	青マタタビ
38|S38|I508	緑マタタビ
39|S39|I509	黄マタタビ
40|S40|I510	虹マタタビ
41|S41|I511	古代マタタビの種
42|S42|I512	古代マタタビ
43|S43|I513	虹マタタビの種
44|S44|I514	金マタタビ
45|S21|I406	福引チケット
46|S22|I407	福引チケット
47|S23|I408	福引チケット
48|S24|I409	福引チケット
49|S25|I410	福引チケット
50|S50|I600	キャッツアイ【EX】
51|S51|I601	キャッツアイ【レア】
52|S52|I602	キャッツアイ【激レア】
53|S53|I603	キャッツアイ【超激レア】
54|S54|I604	キャッツアイ【伝説】
55|S55|I700	ネコビタンA
56|S56|I701	ネコビタンB
57|S57|I702	ネコビタンC
58|S58|I605	キャッツアイ【闇】
59|S59	ダミー
60|S60	にゃんこ砲攻撃力
61|S61	にゃんこ砲射程
62|S62	にゃんこ砲チャージ
63|S63	働きネコ仕事効率
64|S64	働きネコお財布
65|S65	お城体力
66|S66	研究力
67|S67	会計力
68|S68	勉強力
69|S69	統率力
70|S70	受取BOX用：ダミー1
71|S71	受取BOX用：ダミー2
72|S72	受取BOX用：ダミー3
73|S73	受取BOX用：ダミー4
74|S74	受取BOX用：ダミー5
75|S26|I411	福引チケット
76|S76|I205	福引チケット
77|S77|I206	福引チケットG
78	XP 100000
79|S79	ダミー
80|S80|I6	経験値Ａ
81|S81|I7	経験値Ｂ
82|S82|I8	経験値Ｃ
83|S83|I9	経験値Ｄ
84|S84|I10	経験値Ｅ
85|S85|I610	レンガ
86|S86|I611	羽根
87|S87|I612	備長炭
88|S88|I613	鋼の歯車
89|S89|I614	黄金
90|S90|I615	宇宙石
91|S91|I616	謎の骨
92|S92	助手
93|S93|I207	福引チケット
94|S94|I208	福引チケットG
95|S95|I209	福引チケットG
96|S96|I210	福引チケットG
97|S97|I211	福引チケットG
98|S98|I212	福引チケットG
99|S99|I213	福引チケット
100|S100|I214	福引チケットG
101|S101|I215	福引チケット
102|S102|I216	福引チケットG
103|S103|I218	福引チケットG
104|S104|I219	福引チケット
105|S105|I220	リーダーシップ
106|S106|I221	福引チケットG
107|S107|I222	福引チケット
