000			レジェンドストーリー
000-000		伝説のはじまり
000-000-000	大地を揺るがす
000-000-001	あの恐怖、再び
000-000-002	おつかれサンセット
000-000-003	メランコリー湿地
000-000-004	ぷるるん広場
000-000-005	愛情のまなざし
000-000-006	牧場の守護者
000-000-007	眠れる獅子
000-001		情熱の国
000-001-000	ニャンダルシア
000-001-001	パエリア草原
000-001-002	フラメン抗
000-001-003	サングリア川
000-001-004	ガスパチョ高原
000-001-005	チュロス・ナイト
000-001-006	乾いた庭園
000-001-007	タパス砂漠
000-002		グルコサミン砂漠
000-002-000	コンドロイチン砂丘
000-002-001	セサ民遺跡
000-002-002	イソフラボン洞窟
000-002-003	カテキン丘陵
000-002-004	リコピンの夕焼け
000-002-005	プロポリスオアシス
000-002-006	ペプチド雪原
000-002-007	ヒアルロン山
000-003		猫ども海を渡る
000-003-000	無茶ぶり進水式
000-003-001	ユーザン海原
000-003-002	人魚の入り江
000-003-003	カオスラグーン
000-003-004	なんちゃって海賊
000-003-005	ホコタテ漁場
000-003-006	テングサ島
000-003-007	海の水は塩辛い
000-004		見つめてキャッツアイ
000-004-000	ぽろり鉱石
000-004-001	セクシー鍾乳洞
000-004-002	ドキドキ穴
000-004-003	ぷりぷりくぼみ
000-004-004	フタこぶ岩
000-004-005	スリルの代償
000-005		ウエスタン街道
000-005-000	ガンマンの黄昏
000-005-001	カウボーイ天国
000-005-002	お尋ね者の夜
000-005-003	マカロニタウン
000-005-004	さすらいの口笛
000-005-005	がっかり用心棒
000-005-006	テンガロン山
000-005-007	ロデオナイト
000-006		マグロ海域
000-006-000	ベニマグロ海岸
000-006-001	ピチピチ漁場
000-006-002	ぷらっとオーシャン
000-006-003	カルパッチョ沖
000-006-004	排他的経済水域
000-006-005	最終兵器トロ
000-006-006	冷凍マグロ戦線
000-006-007	解体ショー洞窟
000-007		バンブー島
000-007-000	チクチク高原
000-007-001	タケノコ海岸
000-007-002	殺人鬼ジャングル
000-007-003	げろげろ沼
000-007-004	もっさり坑道
000-007-005	星くず街道
000-007-006	キノコ崖
000-007-007	暁フロンティア
000-008		ぷにぷに鍾乳洞
000-008-000	ミルキートンネル
000-008-001	ふわふわ暗黒兵器
000-008-002	悪魔の壁画
000-008-003	隙間風のささやき
000-008-004	甘えんぼ暗殺者
000-008-005	うろたえる岩
000-008-006	雨漏り洞窟
000-008-007	ぽっちゃり性善説
000-009		ボルケーノ火山
000-009-000	半身浴岩
000-009-001	ほっこり間欠泉
000-009-002	とろーりマグマ
000-009-003	炎の檻
000-009-004	火口を守る者
000-009-005	メラメラカルデラ
000-010		千里の道
000-010-000	ポテンシャルロード
000-010-001	憂愁の木
000-010-002	そよかぜの歌声
000-010-003	哲学の道
000-010-004	境界線の晩鐘
000-010-005	流した涙の川
000-010-006	輝く道
000-010-007	試練の谷底
000-011		アオ・ザ・カナ
000-011-000	磯のささやき
000-011-001	サザナミ・アイランド
000-011-002	ダークオクトパスの海
000-011-003	ポセイドンのこしかけ
000-011-004	月明かりのビーチ
000-011-005	コーラルサンゴ礁
000-011-006	月の箱舟
000-011-007	殺戮兵器シラ・ス
000-012		軍艦島
000-012-000	ネギトロ平野
000-012-001	カニミソ草原
000-012-002	イクラ岩窟
000-012-003	ウニ街道
000-012-004	トビコ原生林
000-012-005	納豆海岸
000-012-006	エンガワの森
