000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
001	体力を多く備えた盾用のキャラ<br>攻撃力はスズメの涙ほど(範囲攻撃)<br>	まさにカベに徹する為の盾専用キャラ<br>攻撃力はあいかわらず(範囲攻撃)<br>	まさにカベに徹する為の盾専用キャラ<br>ゴムの弾力を利用してさらに強化されたが<br>攻撃力はあいかわらず(範囲攻撃)
002	戦闘向きのキャラ<br>｢赤い敵｣にめっぽう強い<br>	勇者にあこがれる戦闘向きのキャラ<br>｢赤い敵｣にめっぽう強い<br>	ダークヒーローにも憧れた<br>戦闘向きのキャラ<br>｢赤い敵｣にめっぽう強い
003	遠くの敵を攻撃できる遠距離型キャラ<br>単発だけなら攻撃力はハイクラス<br>	美しすぎる足が自慢の遠距離型キャラ<br>単発だけなら攻撃力はハイクラス<br>	筋肉美が自慢の遠距離型キャラ<br>単発だけなら攻撃力はハイクラス<br>｢エイリアン｣にめっぽう強い
004	俊敏な動きで移動力に優れたキャラ<br>攻撃回数もハンパない<br>	俊敏な動きで移動力に優れたキャラ<br>長い首でのヘッドバンギングが笑える<br>	俊敏な動きで移動力に優れたキャラ<br>頭のタテガミは拭き掃除にも使える<br>
005	体力は少ないが敵をまとめて一掃する<br>超破壊力を持ったキャラ(範囲攻撃)<br>	重力を超越した改造にゃんこ<br>敵をまとめてお仕置き可能(範囲攻撃)<br>	放たれる光弾は巨大都市を一瞬で焼き払った<br>と言われる空中都市型にゃんこ<br>ごくたまに｢天使｣の攻撃力を下げる(範囲攻撃)
006	戦闘向きの高級キャラ<br>｢赤い敵｣にはめっぽう強い<br>	肉食クジラに進化した高級戦闘キャラ<br>｢赤い敵｣にはめっぽう強い<br>	にゃんこ達のバカンスに最適な形状にまで<br>進化したキャラ。｢赤い敵｣にはめっぽう強く<br>ごくたまにクリティカル攻撃を放つ
007	遠くの敵を攻撃できる遠距離型キャラ<br>単発だけなら攻撃力はピカイチ<br>	幻想世界から降臨した遠距離型キャラ<br>単発だけなら攻撃力はピカイチ<br>	ドラゴン界のエリートまで上り詰めた<br>遠距離型キャラ<br>単発だけなら攻撃力はピカイチ
008	超絶破壊力＆強靭な体力を備えた<br>最高級のキャラ(範囲攻撃)<br>	超絶破壊力＆強靭な体力を備えた<br>破壊をつかさどるネコ神様(範囲攻撃)<br>	ごくたまに敵をふっとばす<br>破壊をつかさどる巨大ネコ(範囲攻撃)<br>Ｔシャツが伸びるので良い子はマネしない方がいい
009	撮影の為なら何でもこなす遠距離型キャラ<br>美しい脚を持ったキャラとのコラボは美の極み！<br>遠距離型で範囲攻撃を持った貴重なキャラ！	慈愛の心に満ち溢れた遠距離型キャラ<br>美しい脚を持ったキャラとのコラボは美の極み！<br>遠距離型で範囲攻撃を持った貴重なキャラ！	地下闘技場チャンピオンとなった遠距離型キャラ<br>たくましい脚を持ったキャラとのコラボは美の極み！<br>筋肉のおかげで体力と攻撃速度アップ(範囲攻撃)
010	ミドルレンジからの絶対的な破壊力を秘めた<br>カンフーマスター。しかも範囲攻撃<br>	酔えば酔うほど強くなることを信じる、<br>伝説のカンフーマスター。しかも範囲攻撃<br>	武と芸の両刀使いになった天才にゃんこ<br>極度の人見知りのため後ろ向きに歩く方法を習得<br>伝説となることでリーチを伸ばした(範囲攻撃)
