000			레전드 스테이지
000-000		전설의 시작
000-000-000	대지를 흔들다
000-000-001	그 공포, 또다시
000-000-002	수고하세트
000-000-003	멜랑꼴리 습지
000-000-004	탱글탱글 광장
000-000-005	애정의 눈빛
000-000-006	목장의 수호자
000-000-007	잠자는 라이온
000-001		정열의 나라
000-001-000	야옹달루시아
000-001-001	빠에야 초원
000-001-002	플라멩코 구멍
000-001-003	샹그리아 강
000-001-004	가스파초 고원
000-001-005	츄러스 나이트
000-001-006	메마른 정원
000-001-007	타파스 사막
000-002		글루코사민 사막
000-002-000	콘드로이틴 사구
000-002-001	세사민 유적
000-002-002	이소플라본 동굴
000-002-003	카테킨 구릉
000-002-004	리코펜의 노을
000-002-005	프로폴리스 연못
000-002-006	펩타이드 설원
000-002-007	히알루론산
000-003		헤엄치는 고양이
000-003-000	무모한 진수식
000-003-001	커다란 대해
000-003-002	인어의 후미
000-003-003	카오스 라군
000-003-004	해적놀이
000-003-005	모순의 어장
000-003-006	우뭇가사리 섬
000-003-007	바닷물은 짜다
000-004		캣츠아이
000-004-000	사랑의 광석
000-004-001	섹시 종유동
000-004-002	두근두근 구멍
000-004-003	바디 라인
000-004-004	가슴골
000-004-005	스릴의 대가
000-005		웨스턴 가도
000-005-000	건맨의 석양
000-005-001	카우보이 천국
000-005-002	방문객의 밤
000-005-003	마카로니 타운
000-005-004	정처없는 휘파람
000-005-005	말라깽이 보디가드
000-005-006	카우보이의 산
000-005-007	로데오 나이트
000-006		참치 해역
000-006-000	홍참치 해안
000-006-001	싱싱 어장
000-006-002	블루오션
000-006-003	카르파쵸 바다
000-006-004	배타적 경제수역
000-006-005	최종병기 참치
000-006-006	냉동참치 전선
000-006-007	해체 쇼 동굴
000-007		수수께끼 섬
000-007-000	따끔따끔 고원
000-007-001	죽순 해안
000-007-002	살인귀 정글
000-007-003	개굴개굴 늪
000-007-004	비죽비죽 갱도
000-007-005	별들의 가도
000-007-006	버섯 벼랑
000-007-007	새벽 프런티어
000-008		뿌니뿌니 종유동
000-008-000	밀키 터널
000-008-001	푹신푹신 암흑 병기
000-008-002	악마의 벽화
000-008-003	바람의 속삭임
000-008-004	아기 암살자
000-008-005	당황한 바위
000-008-006	침수 동굴
000-008-007	뚱보 성선설
000-009		볼케이노 화산
000-009-000	반식욕 바위
000-009-001	뜨끈뜨끈 간헐천
000-009-002	걸쭉한 마그마
000-009-003	불꽃의 우리
000-009-004	화구를 지키는 자
000-009-005	이글이글 칼데라
000-010		천 리 길
000-010-000	포텐셜 로드
000-010-001	근심의 나무
000-010-002	산들바람의 노래
000-010-003	철학의 길
000-010-004	경계선의 만종
000-010-005	흘린 눈물의 강
000-010-006	빛나는 길
000-010-007	시련의 협곡
000-011		생선의 요새
000-011-000	바다의 속삭임
000-011-001	잔물결 아일랜드
000-011-002	문어의 바다
000-011-003	포세이돈의 휴식
000-011-004	달빛 해변
000-011-005	코랄 산호초
000-011-006	달의 돛단배
000-011-007	살육병기 멸치
000-012		초밥 아일랜드
000-012-000	참치 평야
000-012-001	게장 초원
000-012-002	연어알 바위굴
000-012-003	성게 가도
000-012-004	날치알 원시림
000-012-005	낫또 해안
000-012-006	지느러미 숲
000-012-007	단새우 프런티어
000-013		고양이의 복도
000-013-000	박스 회랑
000-013-001	개다래나무의 꿈
000-013-002	긁적긁적 월
000-013-003	수풀을 헤치고
000-013-004	갉작갉작 기둥
000-013-005	난폭자의 파수꾼
000-014		파르테논신전
000-014-000	제우스의 제단
000-014-001	아킬레스 검
000-014-002	에로스 가도
000-014-003	가이아의 새벽
000-014-004	아프로디테의 문
000-014-005	하데스의 미궁
000-015		모두의 해수욕장
000-015-000	조개잡이 해변
000-015-001	짱뚱어 파크
000-015-002	미녀의 뒤태
000-015-003	개미떼 수영장
000-015-004	비치파라솔 밭
000-015-005	고대의 비키니
000-015-006	컬러풀 칵테일
000-015-007	별바다
000-016		앨커트래즈 섬
000-016-000	갈매기 해안
000-016-001	펠리컨 아일랜드
000-016-002	지하 제어실
000-016-003	악당의 밀림
000-016-004	담력 테스트
000-016-005	고양이 재판
000-016-006	감옥초원
000-016-007	간수와 묘지기
