0|S0|I0	เร่งความเร็ว
1|S1|I1	เรดาร์สมบัติ
2|S2|I2	แมวเศรษฐี
3|S3|I3	ซีพียูแมว
4|S4|I4	งานแมว
5|S5|I5	แมวซุ่มยิง
6|S6|I201	XP
7|S7|I217	NP
8	หุ่นจำลอง
9	หุ่นจำลอง
10	5000 XP
11	10000 XP
12	30000 XP
13	50000 XP
14	100000 XP
15	200000 XP
16	500000 XP
17	1000000 XP
18	2000000 XP
19	XP 500000
20|S11|I202	ตั๋วแมว
21|S12|I203	ตั๋วแรร์
22|S13|I200	อาหารแมว
23|S16|I400	ตั๋วนำโชค
26|S17|I403	ตั๋วนำโชค
27|S18|I404	ตั๋วนำโชค
28|S19|I405	ตั๋วนำโชค
29|S20|I204	ตั๋วแพลตินัม
30|S30|I500	เมล็ดผลไม้เหมียวม่วง
31|S31|I501	เมล็ดผลไม้เหมียวแดง
32|S32|I502	เมล็ดผลไม้เหมียวฟ้า
33|S33|I503	เมล็ดผลไม้เหมียวเขียว
34|S34|I504	เมล็ดผลไม้เหมียวเหลือง
35|S35|I505	ผลไม้เหมียวม่วง
36|S36|I506	ผลไม้เหมียวแดง
37|S37|I507	ผลไม้เหมียวฟ้า
38|S38|I508	ผลไม้เหมียวเขียว
39|S39|I509	ผลไม้เหมียวเหลือง
40|S40|I510	ผลไม้เหมียวเอปิก
41|S41|I511	เมล็ดผลไม้เหมียวอาวุโส
42|S42|I512	ผลไม้เหมียวอาวุโส
43|S43|I513	เมล็ดผลไม้เหมียวเอปิก
44|S44|I514	ผลไม้เหมียวทอง
45|S21|I406	ตั๋วนำโชค
46|S22|I407	ตั๋วนำโชค
47|S23|I408	ตั๋วนำโชค
48|S24|I409	ตั๋วนำโชค
49|S25|I410	ตั๋วนำโชค
50|S50|I600	ตาแมว [พิเศษ]
51|S51|I601	ตาแมว [แรร์]
52|S52|I602	ตาแมว [ซูเปอร์แรร์]
53|S53|I603	ตาแมว [อูเบอร์แรร์]
54|S54|I604	ตาแมว [ตำนาน]
55|S55|I700	วิตาเมี้ยว [A]
56|S56|I701	วิตาเมี้ยว [B]
57|S57|I702	วิตาเมี้ยว [C]
58|S58|I605	ตาแมว [มืด]
60|S60	โจมตีปืนใหญ่แมว
61|S61	ระยะปืนใหญ่แมว
62|S62	ชาร์จปืนใหญ่แมว
63|S63	อัตราความเร็วแมวกรรมกร
64|S64	เป๋าตังค์แมวกรรมกร
65|S65	การป้องกันฐาน
66|S66	การวิจัย
67|S67	บัญชี
68|S68	การศึกษา
69|S69	พลังงานแมว
70|S70	พันธมิตรแมว: หุ่นจำลอง 1
71|S71	พันธมิตรแมว: หุ่นจำลอง 2
72|S72	พันธมิตรแมว: หุ่นจำลอง 3
73|S73	พันธมิตรแมว: หุ่นจำลอง 4
74|S74	พันธมิตรแมว: หุ่นจำลอง 5
75|S26|I411	ตั๋วนำโชค
76|S76|I205	ตั๋วนำโชค
77|S77|I206	ตั๋วนำโชค G
78	XP 100000
80|S80|I6	XP
81|S81|I7	XP
82|S82|I8	XP
83|S83|I9	XP
84|S84|I10	XP
85|S85|I610	อิฐ
86|S86|I611	ขนนก
87|S87|I612	ถ่านหิน
88|S88|I613	ฟันเฟือง
89|S89|I614	ทอง
90|S90|I615	อุกกาบาต
91|S91|I616	กระดูกอสูรกาย
92|S92	วิศวกร
93|S93|I207	ตั๋วนำโชค
94|S94|I208	ตั๋วนำโชค G
95|S95|I209	ตั๋วนำโชค G
96|S96|I210	ตั๋วนำโชค G
97|S97|I211	ตั๋วนำโชค G
98|S98|I212	ตั๋วนำโชค G
99|S99|I213	ตั๋วนำโชค
100|S100|I214	ตั๋วนำโชค G
101|S101|I215	ตั๋วนำโชค
102|S102|I216	ตั๋วนำโชค G
103|S103|I218	ตั๋วนำโชค G
104|S104|I219	ตั๋วนำโชค
105|S105|I220	ความเป็นผู้นำ
106|S106|I221	ตั๋วนำโชค G
107|S107|I222	ตั๋วนำโชค
108|S108|I223	ตั๋วนำโชค G
109|S109|I224	ตั๋วนำโชค G
110|S110|I225	ตั๋วนำโชค
112|S112|I226	ตั๋วนำโชค
113|S113|I227	ตั๋วนำโชค G
114|S114|I228	ตั๋วนำโชค G
115|S115|I229	ตั๋วนำโชค G
116|S116|I230	ตั๋วนำโชค
117|S117|I231	ตั๋วนำโชค
118|S118|I232	ตั๋วนำโชค G
119|S119|I233	ตั๋วนำโชค G
120|S120|I234	ตั๋วนำโชค G
121|S121|I235	ตั๋วนำโชค G
122|S122|I236	ตั๋วนำโชค
123|S123	แพ็กเริ่มต้นใหม่
124|S124|I237	ตั๋วนำโชค G
125|S125|I238	ตั๋วนำโชค G
126|S126|I239	ตั๋วนำโชค
127|S127|I240	ตั๋วนำโชค
128|S128|I241	ตั๋วนำโชค G
129|S129|I242	ตั๋วนำโชค G
130|S130|I243	ตั๋วนำโชค G
131|S131|I244	ตั๋วนำโชค G
132|S132|I245	ตั๋วนำโชค
133|S133|I246	ตั๋วนำโชค G
134|S134|I247	ตั๋วนำโชค
135|S135|I248	ตั๋วนำโชค G
136|S136|I249	ตั๋วนำโชค
137|S137|I413	บิกคุริมัน ช็อกโก
138|S138|I250	ตั๋วนำโชค G
139|S139|I251	ตั๋วนำโชค
140|S140|I617	แอมโมไนต์
141|S141|I252	ตั๋วนำโชค G
142|S142|I253	ตั๋วนำโชค G
143|S143|I254	ตั๋วนำโชค
144|S144|I255	ตั๋วนำโชค G
145|S145|I256	ตั๋วตำนาน
146|S146|I257	ตั๋วนำโชค G
147|S147|I258	ตั๋วนำโชค
148|S148|I259	ตั๋วนำโชค
149|S149|I260	ตั๋วนำโชค G
150|S150|I261	ตั๋วนำโชค G
151|S151	แมวเศรษฐีไม่จำกัดนาน 3 ชั่วโมง
152|S152	ซีพียูแมวไม่จำกัดนาน 3 ชั่วโมง
153|S153	แมวซุ่มยิงไม่จำกัดนาน 3 ชั่วโมง
154|S154|I262	ตั๋วนำโชค G
155|S155|I263	ตั๋วนำโชค
156|S156|I264	ตั๋วนำโชค G
157|S157|I270	ผลึกแพลตินัม
158|S158|I414	ตาข่ายตำนาน
159	5000 XP
160|S160|I515	เมล็ดผลไม้เหมียวอากุ
161|S161|I516	ผลไม้เหมียวอากุ
163|S163|I416	กล่องลึกลับ
164|S164|I517	เมล็ดผลไม้เหมียวทอง
166|S166|I418	จดหมายรัก
167|S167|I518	ศิลา บ. สีม่วง
168|S168|I519	ศิลา บ. สีแดง
169|S169|I520	ศิลา บ. สีฟ้า
170|S170|I521	ศิลา บ. สีเขียว
171|S171|I522	ศิลา บ. สีเหลือง
172|S172|I419	น้ำมนต์
173|S173|I420	ตาข่ายตำนาน
174|S174|I710	เหรียญทองแดง
175|S175|I711	เหรียญเงิน
176|S176|I712	เหรียญทอง
177|S177|I713	เหรียญแพลตินัม
178|S178|I421	บัตรผ่านตำนาน
179|S179|I523	มณีเบอฮีมอธม่วง
180|S180|I524	มณีเบอฮีมอธแดง
181|S181|I525	มณีเบอฮีมอธฟ้า
182|S182|I526	มณีเบอฮีมอธเขียว
183|S183|I527	มณีเบอฮีมอธเหลือง
184|S184|I528	ศิลาเบอฮีมอธเอปิก
185|S185|I422	เครื่องรางระดับตำนาน
186|S186|I423	จดหมายรัก
187|S187|I618	อิฐ Z
188|S188|I619	ขนนก Z
