000	แมวพื้นฐาน<br><br>	กล้ามที่ฝึกมาอย่างดี<br>คือเสน่ห์ของแมวตัวนี้<br>	กล้ามที่ฝึกมาอย่างดีและทรงผม<br>คือเสน่ห์ของแมวตัวนี้<br>		
001	ตัวละครโล่ที่มีความแข็งแกร่งทางกายภาพมาก<br>แต่โจมตีเท่ามดกัด (โจมตีพื้นที่)<br>	ตัวละครโล่ที่มีความแข็งแกร่งทางกายภาพมาก<br>แต่ยังคงโจมตีเท่ามดกัด (โจมตีพื้นที่)<br>	ตัวละครโล่ที่มีความแข็งแกร่งทางกายภาพมาก<br>ด้วยความยืดหยุ่นของยาง<br>แต่ยังคงโจมตีเท่ามดกัด (โจมตีพื้นที่)		
002	ผู้คลั่งไคล้การต่อสู้<br>เก่งกับศัตรูสีแดง<br>	อยากจะเป็นฮีโร่<br>เก่งกับศัตรูสีแดง<br>	อยากจะเป็นอัศวินมืด<br>เป็นแมวศึกที่มีฝีมือพอประมาณ<br>เก่งกับศัตรูสีแดง		
003	สามารถโจมตีระยะไกลอย่างทรงพลัง<br>มีพลังและระยะโจมตีอันยอดเยี่ยม<br>	มีความภาคภูมิใจในขาอันสวยเกินไปของตนเอง<br>มีพลังและระยะโจมตีอันยอดเยี่ยม<br>	ทุกวันก็คือวันออกกำลังกายขา แมวผู้ชำนาญศาสตร์<br>แห่งการใช้ขา มีพลังและระยะโจมตีอันยอดเยี่ยม<br>เก่งกับเอเลี่ยน!		
004	ใช้หัวคิดไวทำไว<br>รวดเร็วดั่งลม!<br>	ใช้หัวคิดไวทำไว<br>โยกหัวไปกับเพลงร็อกเท่านั้น!<br>	ใช้หัวคิดไวทำไว<br>ใช้ขนแผงคอทำความสะอาดบ้าน<br>		
005	มีพลังชีวิตเท่าเม็ดถั่ว<br>และมีพลังโจมตีที่ยอดเยี่ยม (โจมตีพื้นที่)<br>	หาทางต้านแรงดึงดูดได้สำเร็จ<br>และจัดการศัตรูหลายตัวได้ดี (โจมตีพื้นที่)<br>	ทำลายเมืองทั้งเมืองด้วยลำแสง<br>ได้ในครั้งเดียว อาจจะ<br>ลดทอนการโจมตีของเอเลี่ยนได้ (โจมตีพื้นที่)		
006	มีศักยภาพระยะประชิดเป็นเลิศ<br>เก่งกับศัตรูสีแดง<br>	เปลี่ยนตัวเองให้กลายเป็นแมววาฬล่าเนื้อได้สำเร็จ<br>เก่งกับศัตรูสีแดง<br>	มีเวลาพักร้อนอันยอดเยี่ยม<br>อาจจะโจมตีคริติคอลได้<br>เก่งกับศัตรูสีแดง		
007	สามารถโจมตีศัตรูได้จากระยะไกล<br>โจมตีระยะไกลเดี่ยวอย่างทรงพลัง<br>	มาจากโลกแฟนตาซี<br>โจมตีระยะไกลเดี่ยวอย่างทรงพลัง<br>	อย่าถามว่าเข้ามาอยู่ในยอดกองพลมังกรได้ไง<br>เป็นตัวละครโจมตีระยะไกล<br>โจมตีระยะไกลเดี่ยวอย่างทรงพลัง		
008	มีพลังโจมตีสูงยิ่งยวดและ<br>มีพลังชีวิตสูงอย่างน่าทึ่ง (โจมตีพื้นที่)<br>	จอมทำลายล้าง (?) (โจมตีพื้นที่)<br>มีพลังโจมตีและพลังชีวิตสูงมาก<br>	อาจจะกระแทกกลับศัตรูได้ (โจมตีพื้นที่)<br>จอมทำลายล้างตัวจริง (?)<br>อย่าดึงเสื้อจนยืดแบบนั้นสิ		
009	มีความเป็นมืออาชีพสูง<br>ร่วมงานได้ดีกับแมวขาสวย<br>มีพลังและระยะโจมตีพื้นที่อันยอดเยี่ยม	ความรักของแม่ นั้นไร้ขีดจำกัด!<br>ร่วมงานได้ดีกับแมวขาสวย<br>มีพลังและระยะโจมตีพื้นที่อันยอดเยี่ยม	ครองสังเวียนหมัดไร้นวม<br>ร่วมงานได้ดีกับแมวขานักกล้าม<br>ความแข็งแกร่งและการโจมตีเร็วขึ้นด้วยกล้ามเนื้อ		
010	ผู้ชำนาญการโจมตีระยะกลาง (โจมตีพื้นที่)<br>สามารถสู้ศัตรูหลายตัวได้พร้อมกัน<br>	นี่คือวิชาหมัดเมา?<br>...หรือแค่เมาแอ๋กันแน่? (โจมตีพื้นที่)<br>	นักเต้นในตำนานผู้ผสานการจู่โจม<br>เข้ากับความทุ่มเทอันร้อนแรง สำเร็จวิชา<br>เดินถอยหลัง เพื่อเลี่ยงการสบสายตา (พื้นที่)		
011	มิสเตอร์คนนี้มาจากซีรีส์ "มิสเตอร์" ยอดนิยม<br>เป็นซีรีส์ที่ฝึกขาสร้างความเร็ว<br>และสามารถยิงศัตรูได้ทุกตัว (พื้นที่)	มิสเตอร์คนนี้มาจากซีรีส์ "มิสเตอร์" ยอดนิยม<br>เป็นซีรีส์ที่ฝึกขาสร้างความเร็ว<br>และตอนนี้มีบาซูกาด้วย ตูม (พื้นที่)	มิสเตอร์ผู้มาจากเกม "มิสเตอร์" ดังระดับโลก!<br>กระหน่ำเข้าหาศัตรู แล้วไล่ถล่มให้เรียบ<br>ด้วยปืนนวมมวยประดิษฐ์เอง (พื้นที่)		
012	มีความทรหดที่สูงมาก<br>ชื่นชอบการโดนทำร้าย<br>เก่งกับศัตรูสีแดง	เจ็บนี้ไม่พอ<br>ชื่นชอบการโดนทำร้าย<br>เก่งกับศัตรูสีแดง	ยอมเป็นโล่ให้คนอื่น<br>เพื่อความพึงพอใจอันล้ำเลิศ (?) เก่งกับศัตรูสีแดง<br>อาจจะรอดการโจมตีถึงตายได้		
013	พนักงานออฟฟิศผู้ใส่ใจในตอนกลางวัน<br>ตอนกลางคืนมักเจอกับแมวมัดเชือก<br>โจมตีเร็ว และเก่งกับศัตรูสีแดง	อาจจะไม่ใช่แมว ชื่นชอบความรุนแรง<br>โจมตีเร็ว และเก่งกับศัตรูสีแดง<br>	จัดการศัตรูอย่างไร้ปรานี<br>ด้วยหลอดฟลูออเรสเซนต์ เจ้าความมืดโจมตีเร็ว<br>และเก่งกับศัตรูสีแดงหรือสีดำ		
014	แมวน่าสงสารผู้ถูกทิ้ง<br>ตอนนี้ต้องหาทางรอดด้วยตัวเอง<br>มาพร้อมกับความยุติธรรมและความเร็ว (โจมตีพื้นที่)	ชีวิตอันลำเค็ญจึงทำให้หลงผิด<br>ตอนนี้อยู่ให้ห่างเข้าไว้ดีกว่า<br>ไม่มีใครรู้ว่าจะก่อเรื่องอะไรบ้าง (โจมตีพื้นที่)	ยูนิตระดับสูงผู้รักษาความสงบสุข<br>ด้วยการลุยไปหาศัตรู อาจจะลดทอน<br>การโจมตีของศัตรูสีดำได้ (โจมตีพื้นที่)		
015	อากาศหนาวนั้นไม่มีความหมาย<br>เมื่อเจอกับเส้นใยขนสัตว์อบอุ่น<br>เป็นรุ่นขั้นสูงของแมวขาสวย	ปิดจุดสำคัญไว้เพียงจุดเดียว<br>ไม่แน่ใจว่ามันจะปกป้องอะไรได้หรือเปล่า<br>เป็นรุ่นขั้นสูงของแมวขาสวย	เคยอับอายเพราะว่าไปต่อสู้แบบเปลือยเปล่า<br>แต่ว่ามีแมวใจดีมายื่นมือช่วย... เอ่อยื่นอมยิ้มสิ<br>โจมตีพื้นที่ได้!		
016	หวังอยากจะเป็นไอดอล<br>เลยไปร้องเพลงทั่วทุกท้องถนน<br>วันนี้ก็ยังคงร้องเพลงอยู่ (มีโอกาสคริติคอล)	ขอขอบคุณทุกคน เธอได้เป็นไอดอลแล้ว!<br>และเธอเป็นที่ชื่นชอบของทุกคน<br>อย่าลืมสนับสนุนเธอด้วยนะ! (มีโอกาสคริติคอล)	โมเนโกะได้กลายเป็นราชินีเพลงป็อปแห่งจักรวรรดิแมว<br>แต่เธอก็ไม่เคยลืมบรรดาแฟนๆ ที่สนับสนุนเธอ<br>ตั้งแต่เริ่มต้น คลื่นจิ๋ว มีโอกาสคริติคอล!		
017	แมวที่เท่ที่สุดในตำบล (โจมตีพื้นที่)<br>ขี่มอเตอร์ไซค์จริงไม่ได้ เพราะพ่อแม่ไม่อนุญาต<br>	ตะลุยทุกที่ วิ่งทุกโค้ง! (โจมตีพื้นที่)<br>ออกมาเลี้ยงดูตัวเองแล้ว เลยซื้อจักรยานยนต์ได้!<br>	โดนบังคับให้ลดลงเหลือล้อเดียว<br>เพราะเศรษฐกิจถดถอย แต่ก็ยังมองโลกในแง่ดีอยู่<br>โจมตีกลุ่มศัตรู (โจมตีพื้นที่)		
