000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
001	體力很強的肉盾角色<br>攻擊力跟弱雞差不多（範圍攻擊）<br>	用來當人牆最適合不過的肉盾角色<br>攻擊力還是老樣子(範圍攻擊)<br>	用來當人牆最適合不過的肉盾角色<br>利用橡膠的彈力更加強化<br>攻擊力還是老樣子(範圍攻擊)
002	戰鬥型的角色<br>善於攻擊「紅色敵人」<br>	崇拜勇者的戰鬥型角色<br>善於攻擊「紅色敵人」<br>	對黑暗英雄也很崇拜的<br>戰鬥型的角色<br>善於攻擊「紅色敵人」
003	可以攻擊遠處敵人的遠距離攻擊型角色<br>只是單發的話攻擊力很高<br>	對自己超美的腿感到驕傲的遠距離攻擊型角色<br>只是單發的話攻擊力很高<br>	對自己健美的腿感到驕傲的遠距離攻擊型角色<br>只是單發的話攻擊力很高<br>善於攻擊異星戰士
004	動作敏捷移動能力優越的角色<br>攻擊次數也沒話說<br>	動作敏捷移動能力優越的角色<br>把長長的脖子當頭錘很搞笑<br>	動作敏捷移動能力優越的角色<br>頭上的鬃毛也可用於大掃除<br>
005	體力雖然低但可以一次攻擊所有敵人<br>具有超級破壞力的角色（範圍攻擊）<br>	超越重力的改造貓咪<br>可以將敵人一網打盡（範圍攻擊）<br>	施展的光彈可以在瞬間燒光巨大城市的<br>空中都市型貓咪<br>偶爾能使天使敵人攻擊力下降（範圍攻擊）
006	戰鬥型的高級角色<br>善於攻擊「紅色敵人」<br>	進化成肉食鯨魚的高級戰鬥角色<br>善於攻擊「紅色敵人」<br>	進化成最適合貓咪渡假形態的角色<br>善於攻擊「紅色敵人」<br>偶爾會發出會心一擊
007	可以攻擊遠處敵人的遠距離攻擊型角色<br>只是單發的話攻擊力超凡<br>	從幻想世界降臨的遠距離攻擊型角色<br>只是單發的話攻擊力超凡<br>	擠身成為龍界的精英的<br>遠距離攻擊型角色<br>只是單發的話攻擊力超凡
008	具有超強破壞力和強韌體力<br>最頂級角色（範圍攻擊）<br>	具有超強破壞力和強韌體力<br>掌控破壞的貓神（範圍攻擊）<br>	偶爾會打飛敵人<br>掌控破壞的巨貓（範圍攻擊）<br>叔叔有練過，小孩子不要模仿唷！
009	為了上鏡頭，什麼都肯做的長射程攻擊型角色<br>與美腿角色的組合簡直是美的極致！<br>具有遠距離範圍攻擊能力的寶貴角色！	充滿慈愛的長射程攻擊型角色<br>與美腿角色的組合簡直是美的極致！<br>具有遠距離範圍攻擊能力的寶貴角色！	曾在地下格鬥場獲冠的長射程攻擊型角色<br>與壯碩美腿型角色結合後簡直是美的極致！<br>肌肉發達所以體力跟攻擊速度絕佳！（範圍攻擊）
010	隱藏著對於中距離具有絕對破壞能力的<br>功夫大師。而且還是範圍攻擊。<br>	相信自己越醉越厲害，<br>傳說中的功夫大師。並具有範圍攻擊<br>	結合了武與藝的天才貓。<br>因為見人就害羞而學習往後走路的方法<br>成為了傳說而觸及範圍更廣（範圍攻擊）
